Category,Team/All_Teams,Place,Record,Year,Team,Opponent
Passing Yards Allowed,4,0,248,2017,4,10
Passing Yards Allowed,4,1,312,2017,4,18
Rushing Yards,4,0,152,2017,4,18
Rushing Yards,4,1,108,2017,4,10
Rushing Yards Allowed,4,0,110,2017,4,10
Rushing Yards Allowed,4,1,117,2017,4,18
Total Yards,4,0,371,2017,4,18
Total Yards,4,1,316,2017,4,10
Total Yards Allowed,4,0,337,2017,4,10
Total Yards Allowed,4,1,403,2017,4,18
Pass Attempts,4,0,37,2017,4,18
Pass Attempts,4,1,35,2017,4,10
Rush Attempts,4,0,33,2017,4,18
Rush Attempts,4,1,23,2017,4,10
Points Allowed,6,0,29,2017,6,3
Passing Yards,6,0,198,2017,6,3
Passing Yards Allowed,6,0,176,2017,6,3
Rushing Yards,6,0,51,2017,6,3
Rushing Yards Allowed,6,0,180,2017,6,3
Total Yards,6,0,214,2017,6,3
Total Yards Allowed,6,0,352,2017,6,3
Pass Attempts,6,0,30,2017,6,3
Rush Attempts,6,0,22,2017,6,3
Points Scored,8,0,7,2018,8,22
Points Allowed,8,0,31,2018,8,22
Passing Yards,8,0,224,2018,8,22
Passing Yards Allowed,8,0,221,2018,8,22
Rushing Yards,8,0,134,2018,8,22
Rushing Yards Allowed,8,0,154,2018,8,22
Total Yards,8,0,342,2018,8,22
Total Yards Allowed,8,0,359,2018,8,22
Pass Attempts,8,0,52,2018,8,22
Rush Attempts,8,0,19,2018,8,22
Points Scored,10,0,34,2017,10,13
Points Scored,10,1,26,2017,10,4
Points Scored,10,2,23,2018,10,15
Points Scored,10,3,10,2017,10,26
Points Allowed,10,0,6,2017,10,26
Points Allowed,10,1,18,2017,10,4
Points Allowed,10,2,27,2018,10,15
Points Allowed,10,3,31,2017,10,13
Passing Yards,10,0,338,2017,10,13
Passing Yards,10,1,334,2018,10,15
Passing Yards,10,2,271,2017,10,26
Passing Yards,10,3,248,2017,10,4
Passing Yards Allowed,10,0,198,2017,10,26
Passing Yards Allowed,10,1,252,2017,10,4
Passing Yards Allowed,10,2,326,2017,10,13
Passing Yards Allowed,10,3,368,2018,10,15
Rushing Yards,10,0,151,2017,10,13
Rushing Yards,10,1,110,2017,10,4
Rushing Yards,10,2,84,2017,10,26
Rushing Yards,10,3,49,2018,10,15
Rushing Yards Allowed,10,0,32,2017,10,26
Rushing Yards Allowed,10,1,69,2017,10,13
Rushing Yards Allowed,10,2,108,2017,10,4
Rushing Yards Allowed,10,3,137,2018,10,15
Total Yards,10,0,475,2017,10,13
Total Yards,10,1,383,2018,10,15
Total Yards,10,2,337,2017,10,4
Total Yards,10,3,336,2017,10,26
Total Yards Allowed,10,0,225,2017,10,26
Total Yards Allowed,10,1,316,2017,10,4
Total Yards Allowed,10,2,385,2017,10,13
Total Yards Allowed,10,3,491,2018,10,15
Pass Attempts,10,0,42,2018,10,15
Pass Attempts,10,1,38,2017,10,13
Pass Attempts,10,2,36,2017,10,4
Pass Attempts,10,3,29,2017,10,26
Rush Attempts,10,0,37,2017,10,13
Rush Attempts,10,1,28,2017,10,26
Rush Attempts,10,2,27,2017,10,4
Rush Attempts,10,3,20,2018,10,15
Points Scored,11,0,16,2018,11,16
Points Allowed,11,0,37,2018,11,16
Passing Yards,11,0,266,2018,11,16
Passing Yards Allowed,11,0,340,2018,11,16
Rushing Yards,11,0,136,2018,11,16
Rushing Yards Allowed,11,0,56,2018,11,16
Total Yards,11,0,351,2018,11,16
Total Yards Allowed,11,0,371,2018,11,16
Pass Attempts,11,0,46,2018,11,16
Rush Attempts,11,0,24,2018,11,16
Points Scored,13,0,52,2018,13,28
Points Scored,13,1,36,2018,13,22
Points Scored,13,2,31,2017,13,10
Points Scored,13,3,31,2018,13,26
Points Scored,13,4,30,2017,13,3
Points Scored,13,5,26,2017,13,20
Points Allowed,13,0,3,2018,13,26
Points Allowed,13,1,16,2018,13,22
Points Allowed,13,2,17,2017,13,3
Points Allowed,13,3,21,2017,13,20
Points Allowed,13,4,24,2018,13,28
Points Allowed,13,5,34,2017,13,10
Passing Yards,13,0,326,2017,13,10
Passing Yards,13,1,303,2018,13,28
Passing Yards,13,2,295,2018,13,26
Passing Yards,13,3,226,2017,13,3
Passing Yards,13,4,212,2017,13,20
Passing Yards,13,5,159,2018,13,22
Passing Yards Allowed,13,0,145,2018,13,26
Passing Yards Allowed,13,1,187,2017,13,3
Passing Yards Allowed,13,2,199,2018,13,22
Passing Yards Allowed,13,3,252,2017,13,20
Passing Yards Allowed,13,4,313,2018,13,28
Passing Yards Allowed,13,5,338,2017,13,10
Rushing Yards,13,0,275,2018,13,22
Rushing Yards,13,1,246,2018,13,28
Rushing Yards,13,2,193,2017,13,20
Rushing Yards,13,3,141,2017,13,3
Rushing Yards,13,4,126,2018,13,26
Rushing Yards,13,5,69,2017,13,10
Rushing Yards Allowed,13,0,41,2018,13,26
Rushing Yards Allowed,13,1,51,2018,13,28
Rushing Yards Allowed,13,2,64,2017,13,20
Rushing Yards Allowed,13,3,90,2018,13,22
Rushing Yards Allowed,13,4,101,2017,13,3
Rushing Yards Allowed,13,5,151,2017,13,10
Total Yards,13,0,544,2018,13,28
Total Yards,13,1,421,2018,13,22
Total Yards,13,2,414,2018,13,26
Total Yards,13,3,395,2017,13,20
Total Yards,13,4,385,2017,13,10
Total Yards,13,5,362,2017,13,3
Total Yards Allowed,13,0,186,2018,13,26
Total Yards Allowed,13,1,255,2017,13,3
Total Yards Allowed,13,2,273,2018,13,22
Total Yards Allowed,13,3,301,2017,13,20
Total Yards Allowed,13,4,364,2018,13,28
Total Yards Allowed,13,5,475,2017,13,10
Pass Attempts,13,0,36,2018,13,28
Pass Attempts,13,1,35,2017,13,3
Pass Attempts,13,2,35,2018,13,26
Pass Attempts,13,3,31,2017,13,10
Pass Attempts,13,4,27,2017,13,20
Pass Attempts,13,5,23,2018,13,22
Rush Attempts,13,0,36,2017,13,20
Rush Attempts,13,1,36,2018,13,28
Rush Attempts,13,2,34,2018,13,26
Rush Attempts,13,3,33,2018,13,22
Rush Attempts,13,4,31,2017,13,3
Rush Attempts,13,5,15,2017,13,10
Points Scored,15,0,28,2018,15,17
Points Scored,15,1,27,2018,15,10
Points Scored,15,2,16,2018,15,26
Points Allowed,15,0,13,2018,15,17
Points Allowed,15,1,19,2018,15,26
Points Allowed,15,2,23,2018,15,10
Passing Yards,15,0,368,2018,15,10
Passing Yards,15,1,293,2018,15,17
Passing Yards,15,2,277,2018,15,26
Passing Yards Allowed,15,0,297,2018,15,17
Passing Yards Allowed,15,1,334,2018,15,10
Passing Yards Allowed,15,2,400,2018,15,26
Rushing Yards,15,0,137,2018,15,10
Rushing Yards,15,1,83,2018,15,17
Rushing Yards,15,2,44,2018,15,26
Rushing Yards Allowed,15,0,49,2018,15,10
Rushing Yards Allowed,15,1,112,2018,15,26
Rushing Yards Allowed,15,2,119,2018,15,17
Total Yards,15,0,491,2018,15,10
Total Yards,15,1,363,2018,15,17
Total Yards,15,2,305,2018,15,26
Total Yards Allowed,15,0,383,2018,15,10
Total Yards Allowed,15,1,388,2018,15,17
Total Yards Allowed,15,2,500,2018,15,26
Pass Attempts,15,0,42,2018,15,26
Pass Attempts,15,1,33,2018,15,10
Pass Attempts,15,2,28,2018,15,17
Rush Attempts,15,0,30,2018,15,10
Rush Attempts,15,1,20,2018,15,17
Rush Attempts,15,2,14,2018,15,26
Points Scored,16,0,37,2018,16,11
Points Scored,16,1,13,2018,16,28
Points Allowed,16,0,15,2018,16,28
Points Allowed,16,1,16,2018,16,11
Passing Yards,16,0,340,2018,16,11
Passing Yards,16,1,326,2018,16,28
Passing Yards Allowed,16,0,266,2018,16,11
Passing Yards Allowed,16,1,302,2018,16,28
Rushing Yards,16,0,56,2018,16,11
Rushing Yards,16,1,47,2018,16,28
Rushing Yards Allowed,16,0,136,2018,16,11
Rushing Yards Allowed,16,1,139,2018,16,28
Total Yards,16,0,371,2018,16,11
Total Yards,16,1,362,2018,16,28
Total Yards Allowed,16,0,351,2018,16,11
Total Yards Allowed,16,1,432,2018,16,28
Pass Attempts,16,0,35,2018,16,28
Pass Attempts,16,1,28,2018,16,11
Rush Attempts,16,0,27,2018,16,11
Rush Attempts,16,1,17,2018,16,28
Points Scored,17,0,13,2018,17,15
Points Scored,17,1,9,2017,17,24
Points Allowed,17,0,17,2017,17,24
Points Allowed,17,1,28,2018,17,15
Passing Yards,17,0,297,2018,17,15
Passing Yards,17,1,260,2017,17,24
Passing Yards Allowed,17,0,243,2017,17,24
Passing Yards Allowed,17,1,293,2018,17,15
Rushing Yards,17,0,119,2018,17,15
Rushing Yards,17,1,84,2017,17,24
Rushing Yards Allowed,17,0,83,2018,17,15
Rushing Yards Allowed,17,1,96,2017,17,24
Total Yards,17,0,388,2018,17,15
Total Yards,17,1,309,2017,17,24
Total Yards Allowed,17,0,332,2017,17,24
Total Yards Allowed,17,1,363,2018,17,15
Pass Attempts,17,0,51,2018,17,15
Pass Attempts,17,1,44,2017,17,24
Rush Attempts,17,0,28,2018,17,15
Rush Attempts,17,1,18,2017,17,24
Points Scored,18,0,20,2017,18,4
Points Allowed,18,0,26,2017,18,4
Passing Yards,18,0,312,2017,18,4
Passing Yards Allowed,18,0,228,2017,18,4
Rushing Yards,18,0,117,2017,18,4
Rushing Yards Allowed,18,0,152,2017,18,4
Total Yards,18,0,403,2017,18,4
Total Yards Allowed,18,0,371,2017,18,4
Pass Attempts,18,0,35,2017,18,4
Rush Attempts,18,0,22,2017,18,4
Points Scored,20,0,30,2017,20,31
Points Scored,20,1,21,2017,20,13
Points Allowed,20,0,10,2017,20,31
Points Allowed,20,1,26,2017,20,13
Passing Yards,20,0,252,2017,20,13
Passing Yards,20,1,203,2017,20,31
Passing Yards Allowed,20,0,212,2017,20,13
Passing Yards Allowed,20,1,214,2017,20,31
Rushing Yards,20,0,85,2017,20,31
Rushing Yards,20,1,64,2017,20,13
Rushing Yards Allowed,20,0,108,2017,20,31
Rushing Yards Allowed,20,1,193,2017,20,13
Total Yards,20,0,301,2017,20,13
Total Yards,20,1,272,2017,20,31
Total Yards Allowed,20,0,298,2017,20,31
Total Yards Allowed,20,1,395,2017,20,13
Pass Attempts,20,0,37,2017,20,13
Pass Attempts,20,1,31,2017,20,31
Rush Attempts,20,0,30,2017,20,31
Rush Attempts,20,1,23,2017,20,13
Points Scored,22,0,31,2018,22,8
Points Scored,22,1,16,2018,22,13
Points Allowed,22,0,7,2018,22,8
Points Allowed,22,1,36,2018,22,13
Passing Yards,22,0,221,2018,22,8
Passing Yards,22,1,199,2018,22,13
Passing Yards Allowed,22,0,159,2018,22,13
Passing Yards Allowed,22,1,224,2018,22,8
Rushing Yards,22,0,154,2018,22,8
Rushing Yards,22,1,90,2018,22,13
Rushing Yards Allowed,22,0,134,2018,22,8
Rushing Yards Allowed,22,1,275,2018,22,13
Total Yards,22,0,359,2018,22,8
Total Yards,22,1,273,2018,22,13
Total Yards Allowed,22,0,342,2018,22,8
Total Yards Allowed,22,1,421,2018,22,13
Pass Attempts,22,0,35,2018,22,13
Pass Attempts,22,1,25,2018,22,8
Rush Attempts,22,0,33,2018,22,8
Rush Attempts,22,1,23,2018,22,13
Points Scored,24,0,24,2018,24,29
Points Scored,24,1,17,2017,24,17
Points Scored,24,2,12,2017,24,26
Points Allowed,24,0,9,2017,24,17
Points Allowed,24,1,19,2017,24,26
Points Allowed,24,2,55,2018,24,29
Passing Yards,24,0,243,2017,24,17
Passing Yards,24,1,238,2018,24,29
Passing Yards,24,2,199,2017,24,26
Passing Yards Allowed,24,0,175,2017,24,26
Passing Yards Allowed,24,1,260,2017,24,17
Passing Yards Allowed,24,2,286,2018,24,29
Rushing Yards,24,0,174,2017,24,26
Rushing Yards,24,1,96,2017,24,17
Rushing Yards,24,2,90,2018,24,29
Rushing Yards Allowed,24,0,84,2017,24,17
Rushing Yards Allowed,24,1,121,2018,24,29
Rushing Yards Allowed,24,2,127,2017,24,26
Total Yards,24,0,361,2017,24,26
Total Yards,24,1,332,2017,24,17
Total Yards,24,2,309,2018,24,29
Total Yards Allowed,24,0,292,2017,24,26
Total Yards Allowed,24,1,309,2017,24,17
Total Yards Allowed,24,2,395,2018,24,29
Pass Attempts,24,0,43,2018,24,29
Pass Attempts,24,1,42,2017,24,26
Pass Attempts,24,2,27,2017,24,17
Rush Attempts,24,0,33,2017,24,17
Rush Attempts,24,1,23,2017,24,26
Rush Attempts,24,2,20,2018,24,29
Points Scored,26,0,23,2018,26,29
Points Scored,26,1,19,2017,26,24
Points Scored,26,2,19,2018,26,15
Points Scored,26,3,6,2017,26,10
Points Scored,26,4,3,2018,26,13
Points Allowed,26,0,10,2017,26,10
Points Allowed,26,1,12,2017,26,24
Points Allowed,26,2,16,2018,26,15
Points Allowed,26,3,20,2018,26,29
Points Allowed,26,4,31,2018,26,13
Passing Yards,26,0,400,2018,26,15
Passing Yards,26,1,288,2018,26,29
Passing Yards,26,2,198,2017,26,10
Passing Yards,26,3,175,2017,26,24
Passing Yards,26,4,145,2018,26,13
Passing Yards Allowed,26,0,199,2017,26,24
Passing Yards Allowed,26,1,271,2017,26,10
Passing Yards Allowed,26,2,277,2018,26,15
Passing Yards Allowed,26,3,295,2018,26,13
Passing Yards Allowed,26,4,319,2018,26,29
Rushing Yards,26,0,127,2017,26,24
Rushing Yards,26,1,112,2018,26,15
Rushing Yards,26,2,66,2018,26,29
Rushing Yards,26,3,41,2018,26,13
Rushing Yards,26,4,32,2017,26,10
Rushing Yards Allowed,26,0,44,2018,26,15
Rushing Yards Allowed,26,1,84,2017,26,10
Rushing Yards Allowed,26,2,90,2018,26,29
Rushing Yards Allowed,26,3,126,2018,26,13
Rushing Yards Allowed,26,4,174,2017,26,24
Total Yards,26,0,500,2018,26,15
Total Yards,26,1,354,2018,26,29
Total Yards,26,2,292,2017,26,24
Total Yards,26,3,225,2017,26,10
Total Yards,26,4,186,2018,26,13
Total Yards Allowed,26,0,305,2018,26,15
Total Yards Allowed,26,1,336,2017,26,10
Total Yards Allowed,26,2,361,2017,26,24
Total Yards Allowed,26,3,405,2018,26,29
Total Yards Allowed,26,4,414,2018,26,13
Pass Attempts,26,0,46,2018,26,29
Pass Attempts,26,1,45,2018,26,15
Pass Attempts,26,2,41,2018,26,13
Pass Attempts,26,3,37,2017,26,10
Pass Attempts,26,4,25,2017,26,24
Rush Attempts,26,0,38,2018,26,15
Rush Attempts,26,1,32,2017,26,24
Rush Attempts,26,2,22,2017,26,10
Rush Attempts,26,3,21,2018,26,29
Rush Attempts,26,4,16,2018,26,13
Points Scored,28,0,24,2018,28,13
Points Scored,28,1,15,2018,28,16
Points Allowed,28,0,13,2018,28,16
Points Allowed,28,1,52,2018,28,13
Passing Yards,28,0,313,2018,28,13
Passing Yards,28,1,302,2018,28,16
Passing Yards Allowed,28,0,303,2018,28,13
Passing Yards Allowed,28,1,326,2018,28,16
Rushing Yards,28,0,139,2018,28,16
Rushing Yards,28,1,51,2018,28,13
Rushing Yards Allowed,28,0,47,2018,28,16
Rushing Yards Allowed,28,1,246,2018,28,13
Total Yards,28,0,432,2018,28,16
Total Yards,28,1,364,2018,28,13
Total Yards Allowed,28,0,362,2018,28,16
Total Yards Allowed,28,1,544,2018,28,13
Pass Attempts,28,0,40,2018,28,13
Pass Attempts,28,1,37,2018,28,16
Rush Attempts,28,0,35,2018,28,16
Rush Attempts,28,1,17,2018,28,13
Points Scored,29,0,55,2018,29,24
Points Scored,29,1,20,2018,29,26
Points Allowed,29,0,23,2018,29,26
Points Allowed,29,1,24,2018,29,24
Passing Yards,29,0,319,2018,29,26
Passing Yards,29,1,286,2018,29,24
Passing Yards Allowed,29,0,238,2018,29,24
Passing Yards Allowed,29,1,288,2018,29,26
Rushing Yards,29,0,121,2018,29,24
Rushing Yards,29,1,90,2018,29,26
Rushing Yards Allowed,29,0,66,2018,29,26
Rushing Yards Allowed,29,1,90,2018,29,24
Total Yards,29,0,405,2018,29,26
Total Yards,29,1,395,2018,29,24
Total Yards Allowed,29,0,309,2018,29,24
Total Yards Allowed,29,1,354,2018,29,26
Pass Attempts,29,0,45,2018,29,26
Pass Attempts,29,1,22,2018,29,24
Rush Attempts,29,0,27,2018,29,26
Rush Attempts,29,1,25,2018,29,24
Points Scored,31,0,10,2017,31,20
Points Allowed,31,0,30,2017,31,20
Passing Yards,31,0,214,2017,31,20
Passing Yards Allowed,31,0,203,2017,31,20
Rushing Yards,31,0,108,2017,31,20
Rushing Yards Allowed,31,0,85,2017,31,20
Total Yards,31,0,298,2017,31,20
Total Yards Allowed,31,0,272,2017,31,20
Pass Attempts,31,0,50,2017,31,20
Rush Attempts,31,0,23,2017,31,20
Points Scored,99,0,55,2018,29,24
Points Scored,99,1,52,2018,13,28
Points Scored,99,2,37,2018,16,11
Points Scored,99,3,36,2018,13,22
Points Scored,99,4,34,2017,10,13
Points Scored,99,5,31,2017,13,10
Points Scored,99,6,31,2018,22,8
Points Scored,99,7,31,2018,13,26
Points Scored,99,8,30,2017,20,31
Points Scored,99,9,30,2017,13,3
Points Scored,99,10,29,2017,3,6
Points Scored,99,11,28,2018,15,17
Points Scored,99,12,27,2018,15,10
Points Scored,99,13,26,2017,4,18
Points Scored,99,14,26,2017,10,4
Points Scored,99,15,26,2017,13,20
Points Scored,99,16,24,2017,3,2
Points Scored,99,17,24,2018,24,29
Points Scored,99,18,24,2018,28,13
Points Scored,99,19,23,2018,10,15
Points Scored,99,20,23,2018,26,29
Points Scored,99,21,22,2017,2,3
Points Scored,99,22,21,2017,20,13
Points Scored,99,23,20,2017,18,4
Points Scored,99,24,20,2018,29,26
Points Scored,99,25,19,2017,26,24
Points Scored,99,26,19,2018,26,15
Points Scored,99,27,18,2017,4,10
Points Scored,99,28,17,2017,24,17
Points Scored,99,29,17,2017,3,13
Points Scored,99,30,16,2018,11,16
Points Scored,99,31,16,2018,22,13
Points Scored,99,32,16,2018,15,26
Points Scored,99,33,15,2018,28,16
Points Scored,99,34,13,2018,17,15
Points Scored,99,35,13,2018,16,28
Points Scored,99,36,12,2017,24,26
Points Scored,99,37,10,2017,31,20
Points Scored,99,38,10,2017,10,26
Points Scored,99,39,9,2017,17,24
Points Scored,99,40,7,2018,8,22
Points Scored,99,41,6,2017,26,10
Points Scored,99,42,3,2018,26,13
Points Allowed,99,0,0,2017,3,6
Points Allowed,99,1,3,2018,13,26
Points Allowed,99,2,6,2017,10,26
Points Allowed,99,3,7,2018,22,8
Points Allowed,99,4,9,2017,24,17
Points Allowed,99,5,10,2017,20,31
Points Allowed,99,6,10,2017,26,10
Points Allowed,99,7,12,2017,26,24
Points Allowed,99,8,13,2018,15,17
Points Allowed,99,9,13,2018,28,16
Points Allowed,99,10,15,2018,16,28
Points Allowed,99,11,16,2018,16,11
Points Allowed,99,12,16,2018,13,22
Points Allowed,99,13,16,2018,26,15
Points Allowed,99,14,17,2017,17,24
Points Allowed,99,15,17,2017,13,3
Points Allowed,99,16,18,2017,10,4
Points Allowed,99,17,19,2017,24,26
Points Allowed,99,18,19,2018,15,26
Points Allowed,99,19,20,2017,4,18
Points Allowed,99,20,20,2018,26,29
Points Allowed,99,21,21,2017,13,20
Points Allowed,99,22,22,2017,3,2
Points Allowed,99,23,23,2018,15,10
Points Allowed,99,24,23,2018,29,26
Points Allowed,99,25,24,2017,2,3
Points Allowed,99,26,24,2018,29,24
Points Allowed,99,27,24,2018,13,28
Points Allowed,99,28,26,2017,18,4
Points Allowed,99,29,26,2017,4,10
Points Allowed,99,30,26,2017,20,13
Points Allowed,99,31,27,2018,10,15
Points Allowed,99,32,28,2018,17,15
Points Allowed,99,33,29,2017,6,3
Points Allowed,99,34,30,2017,31,20
Points Allowed,99,35,30,2017,3,13
Points Allowed,99,36,31,2017,10,13
Points Allowed,99,37,31,2018,8,22
Points Allowed,99,38,31,2018,26,13
Points Allowed,99,39,34,2017,13,10
Points Allowed,99,40,36,2018,22,13
Points Allowed,99,41,37,2018,11,16
Points Allowed,99,42,52,2018,28,13
Points Allowed,99,43,55,2018,24,29
Passing Yards,99,0,400,2018,26,15
Passing Yards,99,1,368,2018,15,10
Passing Yards,99,2,340,2018,16,11
Passing Yards,99,3,338,2017,10,13
Passing Yards,99,4,334,2018,10,15
Passing Yards,99,5,326,2017,13,10
Passing Yards,99,6,326,2018,16,28
Passing Yards,99,7,319,2018,29,26
Passing Yards,99,8,313,2018,28,13
Passing Yards,99,9,312,2017,18,4
Passing Yards,99,10,303,2018,13,28
Passing Yards,99,11,302,2018,28,16
Passing Yards,99,12,297,2018,17,15
Passing Yards,99,13,295,2018,13,26
Passing Yards,99,14,293,2018,15,17
Passing Yards,99,15,288,2018,26,29
Passing Yards,99,16,286,2018,29,24
Passing Yards,99,17,277,2018,15,26
Passing Yards,99,18,271,2017,10,26
Passing Yards,99,19,266,2018,11,16
Passing Yards,99,20,260,2017,17,24
Passing Yards,99,21,252,2017,4,10
Passing Yards,99,22,252,2017,20,13
Passing Yards,99,23,248,2017,10,4
Passing Yards,99,24,243,2017,24,17
Passing Yards,99,25,238,2018,24,29
Passing Yards,99,26,229,2017,2,3
Passing Yards,99,27,228,2017,4,18
Passing Yards,99,28,226,2017,13,3
Passing Yards,99,29,224,2018,8,22
Passing Yards,99,30,221,2018,22,8
Passing Yards,99,31,214,2017,31,20
Passing Yards,99,32,212,2017,13,20
Passing Yards,99,33,203,2017,20,31
Passing Yards,99,34,199,2017,24,26
Passing Yards,99,35,199,2018,22,13
Passing Yards,99,36,198,2017,6,3
Passing Yards,99,37,198,2017,26,10
Passing Yards,99,38,187,2017,3,13
Passing Yards,99,39,176,2017,3,6
Passing Yards,99,40,175,2017,26,24
Passing Yards,99,41,159,2018,13,22
Passing Yards,99,42,152,2017,3,2
Passing Yards,99,43,145,2018,26,13
Passing Yards Allowed,99,0,145,2018,13,26
Passing Yards Allowed,99,1,152,2017,2,3
Passing Yards Allowed,99,2,159,2018,22,13
Passing Yards Allowed,99,3,175,2017,24,26
Passing Yards Allowed,99,4,176,2017,6,3
Passing Yards Allowed,99,5,187,2017,13,3
Passing Yards Allowed,99,6,198,2017,3,6
Passing Yards Allowed,99,7,198,2017,10,26
Passing Yards Allowed,99,8,199,2017,26,24
Passing Yards Allowed,99,9,199,2018,13,22
Passing Yards Allowed,99,10,203,2017,31,20
Passing Yards Allowed,99,11,212,2017,20,13
Passing Yards Allowed,99,12,214,2017,20,31
Passing Yards Allowed,99,13,221,2018,8,22
Passing Yards Allowed,99,14,224,2018,22,8
Passing Yards Allowed,99,15,226,2017,3,13
Passing Yards Allowed,99,16,228,2017,18,4
Passing Yards Allowed,99,17,229,2017,3,2
Passing Yards Allowed,99,18,238,2018,29,24
Passing Yards Allowed,99,19,243,2017,17,24
Passing Yards Allowed,99,20,248,2017,4,10
Passing Yards Allowed,99,21,252,2017,10,4
Passing Yards Allowed,99,22,252,2017,13,20
Passing Yards Allowed,99,23,260,2017,24,17
Passing Yards Allowed,99,24,266,2018,16,11
Passing Yards Allowed,99,25,271,2017,26,10
Passing Yards Allowed,99,26,277,2018,26,15
Passing Yards Allowed,99,27,286,2018,24,29
Passing Yards Allowed,99,28,288,2018,29,26
Passing Yards Allowed,99,29,293,2018,17,15
Passing Yards Allowed,99,30,295,2018,26,13
Passing Yards Allowed,99,31,297,2018,15,17
Passing Yards Allowed,99,32,302,2018,16,28
Passing Yards Allowed,99,33,303,2018,28,13
Passing Yards Allowed,99,34,312,2017,4,18
Passing Yards Allowed,99,35,313,2018,13,28
Passing Yards Allowed,99,36,319,2018,26,29
Passing Yards Allowed,99,37,326,2017,10,13
Passing Yards Allowed,99,38,326,2018,28,16
Passing Yards Allowed,99,39,334,2018,15,10
Passing Yards Allowed,99,40,338,2017,13,10
Passing Yards Allowed,99,41,340,2018,11,16
Passing Yards Allowed,99,42,368,2018,10,15
Passing Yards Allowed,99,43,400,2018,15,26
Rushing Yards,99,0,275,2018,13,22
Rushing Yards,99,1,246,2018,13,28
Rushing Yards,99,2,198,2017,2,3
Rushing Yards,99,3,193,2017,13,20
Rushing Yards,99,4,186,2017,3,2
Rushing Yards,99,5,180,2017,3,6
Rushing Yards,99,6,174,2017,24,26
Rushing Yards,99,7,154,2018,22,8
Rushing Yards,99,8,152,2017,4,18
Rushing Yards,99,9,151,2017,10,13
Rushing Yards,99,10,141,2017,13,3
Rushing Yards,99,11,139,2018,28,16
Rushing Yards,99,12,137,2018,15,10
Rushing Yards,99,13,136,2018,11,16
Rushing Yards,99,14,134,2018,8,22
Rushing Yards,99,15,127,2017,26,24
Rushing Yards,99,16,126,2018,13,26
Rushing Yards,99,17,121,2018,29,24
Rushing Yards,99,18,119,2018,17,15
Rushing Yards,99,19,117,2017,18,4
Rushing Yards,99,20,112,2018,26,15
Rushing Yards,99,21,110,2017,10,4
Rushing Yards,99,22,108,2017,31,20
Rushing Yards,99,23,108,2017,4,10
Rushing Yards,99,24,101,2017,3,13
Rushing Yards,99,25,96,2017,24,17
Rushing Yards,99,26,90,2018,24,29
Rushing Yards,99,27,90,2018,22,13
Rushing Yards,99,28,90,2018,29,26
Rushing Yards,99,29,85,2017,20,31
Rushing Yards,99,30,84,2017,17,24
Rushing Yards,99,31,84,2017,10,26
Rushing Yards,99,32,83,2018,15,17
Rushing Yards,99,33,69,2017,13,10
Rushing Yards,99,34,66,2018,26,29
Rushing Yards,99,35,64,2017,20,13
Rushing Yards,99,36,56,2018,16,11
Rushing Yards,99,37,51,2017,6,3
Rushing Yards,99,38,51,2018,28,13
Rushing Yards,99,39,49,2018,10,15
Rushing Yards,99,40,47,2018,16,28
Rushing Yards,99,41,44,2018,15,26
Rushing Yards,99,42,41,2018,26,13
Rushing Yards,99,43,32,2017,26,10
Rushing Yards Allowed,99,0,32,2017,10,26
