Category,Team/All_Teams,Place,Player,Record,Year,Team,Opponent
Assists,3,9,64,1,2017,3,6
Assists,3,10,629,1,2017,3,6
Assists,3,11,723,1,2017,3,6
Assists,3,12,768,1,2017,3,6
Assists,3,13,1312,1,2017,3,6
Assists,3,14,63,1,2017,3,2
Assists,3,15,143,1,2017,3,2
Assists,3,16,584,1,2017,3,2
Assists,3,17,629,1,2017,3,2
Assists,3,18,1312,1,2017,3,2
Assists,3,19,3083,1,2017,3,2
Assists,3,20,409,1,2017,3,13
Assists,3,21,723,1,2017,3,13
Assists,3,22,1312,1,2017,3,13
Assists,3,23,2968,1,2017,3,13
Sacks,3,0,1430,20,2017,3,6
Sacks,3,1,64,10,2017,3,6
Sacks,3,2,500,10,2017,3,6
Sacks,3,3,1312,10,2017,3,6
Sacks,3,4,64,10,2017,3,2
Sacks,3,5,409,10,2017,3,13
Sacks,3,6,230,5,2017,3,2
Sacks,3,7,1312,5,2017,3,2
Hurries,3,0,230,4,2017,3,2
Hurries,3,1,1312,4,2017,3,2
Hurries,3,2,230,3,2017,3,13
Hurries,3,3,230,2,2017,3,6
Hurries,3,4,1312,1,2017,3,6
Hurries,3,5,3083,1,2017,3,6
Hurries,3,6,63,1,2017,3,2
Hurries,3,7,409,1,2017,3,13
Hurries,3,8,1430,1,2017,3,13
Blocked Passes,3,0,63,1,2017,3,2
Blocked Passes,3,1,2304,1,2017,3,13
Field Goals,3,0,110,3,2017,3,6
Field Goals,3,1,110,1,2017,3,2
Field Goals,3,2,110,1,2017,3,13
Key Run Blocks,3,0,190,4,2017,3,6
Key Run Blocks,3,1,422,3,2017,3,6
Key Run Blocks,3,2,422,3,2017,3,2
Key Run Blocks,3,3,614,3,2017,3,2
Key Run Blocks,3,4,78,2,2017,3,6
Key Run Blocks,3,5,614,2,2017,3,6
Key Run Blocks,3,6,78,2,2017,3,13
Key Run Blocks,3,7,1052,1,2017,3,6
Key Run Blocks,3,8,78,1,2017,3,2
Key Run Blocks,3,9,190,1,2017,3,2
Key Run Blocks,3,10,190,1,2017,3,13
Key Run Blocks,3,11,422,1,2017,3,13
Key Run Blocks,3,12,1052,1,2017,3,13
Key Run Opportunities,3,0,78,10,2017,3,2
Key Run Opportunities,3,1,190,9,2017,3,6
Key Run Opportunities,3,2,78,8,2017,3,6
Key Run Opportunities,3,3,422,7,2017,3,2
Key Run Opportunities,3,4,422,5,2017,3,6
Key Run Opportunities,3,5,1052,5,2017,3,6
Key Run Opportunities,3,6,190,5,2017,3,2
Key Run Opportunities,3,7,614,5,2017,3,2
Key Run Opportunities,3,8,78,5,2017,3,13
Key Run Opportunities,3,9,1052,5,2017,3,13
Key Run Opportunities,3,10,614,4,2017,3,6
Key Run Opportunities,3,11,190,3,2017,3,13
Key Run Opportunities,3,12,131,2,2017,3,6
Key Run Opportunities,3,13,298,2,2017,3,2
Key Run Opportunities,3,14,422,2,2017,3,13
Key Run Opportunities,3,15,1355,1,2017,3,2
Key Run Opportunities,3,16,298,1,2017,3,13
Passes Defensed,3,0,1811,2,2017,3,2
Passes Defensed,3,1,584,2,2017,3,13
Passes Defensed,3,2,409,1,2017,3,6
Passes Defensed,3,3,2968,1,2017,3,6
Passes Defensed,3,4,64,1,2017,3,2
Passes Defensed,3,5,2304,1,2017,3,2
Passes Defensed,3,6,3083,1,2017,3,2
Passes Defensed,3,7,64,1,2017,3,13
Passes Defensed,3,8,1430,1,2017,3,13
Passes Defensed,3,9,1811,1,2017,3,13
Punt Return Yards,3,0,768,11,2017,3,6
Punt Return Yards,3,1,768,9,2017,3,2
Kickoff Return Yards,3,0,2398,61,2017,3,13
Kickoff Return Yards,3,1,2398,19,2017,3,2
Kickoff Return Yards,3,2,436,15,2017,3,13
Points Scored,3,0,110,11,2017,3,6
Points Scored,3,1,131,6,2017,3,6
Points Scored,3,2,298,6,2017,3,6
Points Scored,3,3,820,6,2017,3,6
Points Scored,3,4,110,6,2017,3,2
Points Scored,3,5,298,6,2017,3,2
Points Scored,3,6,1635,6,2017,3,2
Points Scored,3,7,2423,6,2017,3,2
Points Scored,3,8,436,6,2017,3,13
Points Scored,3,9,2398,6,2017,3,13
Points Scored,3,10,110,5,2017,3,13
Yards from Scrimmage,3,0,131,158,2017,3,6
Yards from Scrimmage,3,1,2423,91,2017,3,2
Yards from Scrimmage,3,2,366,84,2017,3,13
Yards from Scrimmage,3,3,2398,60,2017,3,2
Yards from Scrimmage,3,4,366,58,2017,3,2
Yards from Scrimmage,3,5,820,56,2017,3,13
Yards from Scrimmage,3,6,436,53,2017,3,13
Yards from Scrimmage,3,7,436,48,2017,3,2
Yards from Scrimmage,3,8,298,43,2017,3,2
Yards from Scrimmage,3,9,820,40,2017,3,6
Yards from Scrimmage,3,10,2398,40,2017,3,13
Yards from Scrimmage,3,11,298,37,2017,3,6
Yards from Scrimmage,3,12,436,35,2017,3,6
Yards from Scrimmage,3,13,1635,28,2017,3,13
Yards from Scrimmage,3,14,1635,24,2017,3,6
Yards from Scrimmage,3,15,2423,24,2017,3,6
Yards from Scrimmage,3,16,1635,23,2017,3,2
Yards from Scrimmage,3,17,2398,15,2017,3,6
Yards from Scrimmage,3,18,298,15,2017,3,13
Yards from Scrimmage,3,19,1946,13,2017,3,6
Yards from Scrimmage,3,20,366,11,2017,3,6
Yards from Scrimmage,3,21,1355,11,2017,3,13
Yards from Scrimmage,3,22,131,8,2017,3,2
Yards from Scrimmage,3,23,2423,8,2017,3,13
Yards from Scrimmage,3,24,820,7,2017,3,2
All-Purpose Yards,3,0,131,158,2017,3,6
All-Purpose Yards,3,1,2398,101,2017,3,13
All-Purpose Yards,3,2,2423,91,2017,3,2
All-Purpose Yards,3,3,366,84,2017,3,13
All-Purpose Yards,3,4,2398,79,2017,3,2
All-Purpose Yards,3,5,436,68,2017,3,13
All-Purpose Yards,3,6,366,58,2017,3,2
All-Purpose Yards,3,7,820,56,2017,3,13
All-Purpose Yards,3,8,436,48,2017,3,2
All-Purpose Yards,3,9,298,43,2017,3,2
All-Purpose Yards,3,10,820,40,2017,3,6
All-Purpose Yards,3,11,298,37,2017,3,6
All-Purpose Yards,3,12,436,35,2017,3,6
All-Purpose Yards,3,13,2423,32,2017,3,6
All-Purpose Yards,3,14,1635,28,2017,3,13
All-Purpose Yards,3,15,1635,24,2017,3,6
All-Purpose Yards,3,16,1635,23,2017,3,2
All-Purpose Yards,3,17,1430,17,2017,3,13
All-Purpose Yards,3,18,2398,15,2017,3,6
All-Purpose Yards,3,19,298,15,2017,3,13
All-Purpose Yards,3,20,1946,13,2017,3,6
All-Purpose Yards,3,21,366,11,2017,3,6
All-Purpose Yards,3,22,768,11,2017,3,6
All-Purpose Yards,3,23,1355,11,2017,3,13
All-Purpose Yards,3,24,2304,10,2017,3,6
All-Purpose Yards,3,25,768,9,2017,3,2
All-Purpose Yards,3,26,131,8,2017,3,2
All-Purpose Yards,3,27,2423,8,2017,3,13
All-Purpose Yards,3,28,820,7,2017,3,2
Quarterback Rating,4,0,340,988,2017,4,10
Quarterback Rating,4,1,340,773,2017,4,18
Pass Attempts,4,0,340,37,2017,4,18
Pass Attempts,4,1,340,35,2017,4,10
Pass Completions,4,0,340,25,2017,4,10
Pass Completions,4,1,340,19,2017,4,18
Completion Percentage,4,0,340,714,2017,4,10
Completion Percentage,4,1,340,514,2017,4,18
Passing Yards,4,0,340,252,2017,4,10
Passing Yards,4,1,340,228,2017,4,18
Yards per Pass Attempt,4,0,340,720,2017,4,10
Yards per Pass Attempt,4,1,340,616,2017,4,18
Passing Touchdowns,4,0,340,2,2017,4,18
Passing Touchdowns,4,1,340,2,2017,4,10
Times Sacked,4,0,340,6,2017,4,10
Times Sacked,4,1,340,2,2017,4,18
Rushing Attempts,4,0,1674,17,2017,4,18
Rushing Attempts,4,1,1674,11,2017,4,10
Rushing Attempts,4,2,340,6,2017,4,18
Rushing Attempts,4,3,340,5,2017,4,10
Rushing Attempts,4,4,1462,4,2017,4,10
Rushing Attempts,4,5,411,3,2017,4,18
Rushing Attempts,4,6,644,3,2017,4,18
Rushing Attempts,4,7,129,2,2017,4,18
Rushing Attempts,4,8,1462,2,2017,4,18
Rushing Attempts,4,9,129,1,2017,4,10
Rushing Attempts,4,10,411,1,2017,4,10
Rushing Attempts,4,11,644,1,2017,4,10
Rushing Yards,4,0,1674,73,2017,4,18
Rushing Yards,4,1,1674,53,2017,4,10
Rushing Yards,4,2,340,44,2017,4,18
Rushing Yards,4,3,340,35,2017,4,10
Rushing Yards,4,4,1462,16,2017,4,10
Rushing Yards,4,5,644,15,2017,4,18
Rushing Yards,4,6,1462,9,2017,4,18
Rushing Yards,4,7,411,7,2017,4,18
Rushing Yards,4,8,129,4,2017,4,18
Rushing Yards,4,9,129,4,2017,4,10
Yards per Carry,4,0,1674,429,2017,4,18
Receptions,4,0,977,8,2017,4,10
Receptions,4,1,1674,5,2017,4,18
Receptions,4,2,977,4,2017,4,18
Receptions,4,3,129,4,2017,4,10
Receptions,4,4,644,4,2017,4,10
Receptions,4,5,85,3,2017,4,18
Receptions,4,6,85,3,2017,4,10
Receptions,4,7,644,2,2017,4,18
Receptions,4,8,707,2,2017,4,18
Receptions,4,9,1183,2,2017,4,18
Receptions,4,10,707,2,2017,4,10
Receptions,4,11,1183,2,2017,4,10
Receptions,4,12,1674,2,2017,4,10
Receptions,4,13,1604,1,2017,4,18
Receiving Yards,4,0,977,95,2017,4,10
Receiving Yards,4,1,977,80,2017,4,18
Receiving Yards,4,2,644,72,2017,4,10
Receiving Yards,4,3,85,51,2017,4,18
Receiving Yards,4,4,85,44,2017,4,10
Receiving Yards,4,5,707,30,2017,4,18
Receiving Yards,4,6,129,27,2017,4,10
Receiving Yards,4,7,1183,26,2017,4,18
Receiving Yards,4,8,1674,18,2017,4,18
Receiving Yards,4,9,1604,12,2017,4,18
Receiving Yards,4,10,644,11,2017,4,18
Receiving Yards,4,11,1183,10,2017,4,10
Receiving Yards,4,12,1674,9,2017,4,10
Yards per Reception,4,0,977,1188,2017,4,10
Yards per Reception,4,1,1674,360,2017,4,18
Receiving Touchdowns,4,0,85,1,2017,4,18
Receiving Touchdowns,4,1,644,1,2017,4,18
Receiving Touchdowns,4,2,85,1,2017,4,10
Receiving Touchdowns,4,3,977,1,2017,4,10
Targeted Passes,4,0,977,8,2017,4,10
Targeted Passes,4,1,644,7,2017,4,18
Targeted Passes,4,2,977,7,2017,4,18
Targeted Passes,4,3,1674,6,2017,4,18
Targeted Passes,4,4,85,5,2017,4,10
Targeted Passes,4,5,129,5,2017,4,10
Targeted Passes,4,6,644,5,2017,4,10
Targeted Passes,4,7,85,4,2017,4,18
Targeted Passes,4,8,707,4,2017,4,18
Targeted Passes,4,9,1183,4,2017,4,10
Targeted Passes,4,10,217,3,2017,4,18
Targeted Passes,4,11,1183,3,2017,4,18
Targeted Passes,4,12,217,2,2017,4,10
Targeted Passes,4,13,707,2,2017,4,10
Targeted Passes,4,14,1674,2,2017,4,10
Targeted Passes,4,15,411,1,2017,4,18
Targeted Passes,4,16,1462,1,2017,4,18
Targeted Passes,4,17,1604,1,2017,4,18
Targeted Passes,4,18,411,1,2017,4,10
Targeted Passes,4,19,1462,1,2017,4,10
Passes Dropped,4,0,644,2,2017,4,18
Passes Dropped,4,1,1462,1,2017,4,18
Passes Dropped,4,2,217,1,2017,4,10
Passes Dropped,4,3,1183,1,2017,4,10
Pass Defense Percentage,4,0,32,846,2017,4,18
Pass Defense Percentage,4,1,1446,842,2017,4,18
Pass Defense Percentage,4,2,213,825,2017,4,18
Pass Defense Percentage,4,3,32,786,2017,4,10
Pass Defense Percentage,4,4,1167,785,2017,4,18
Pass Defense Percentage,4,5,208,725,2017,4,18
Pass Defense Percentage,4,6,208,723,2017,4,10
Pass Defense Percentage,4,7,458,715,2017,4,10
Pass Defense Percentage,4,8,213,704,2017,4,10
Pass Defense Percentage,4,9,1167,687,2017,4,10
Pass Defense Percentage,4,10,15,683,2017,4,10
Pass Defense Percentage,4,11,458,658,2017,4,18
Pass Defense Percentage,4,12,789,644,2017,4,10
Pass Defense Percentage,4,13,789,625,2017,4,18
Tackles,4,0,458,8,2017,4,18
Tackles,4,1,1167,8,2017,4,18
Tackles,4,2,458,8,2017,4,10
Tackles,4,3,32,7,2017,4,10
Tackles,4,4,213,7,2017,4,10
Tackles,4,5,789,5,2017,4,10
Tackles,4,6,32,4,2017,4,18
Tackles,4,7,208,4,2017,4,18
Tackles,4,8,789,4,2017,4,18
Tackles,4,9,1446,4,2017,4,18
Tackles,4,10,15,4,2017,4,10
Tackles,4,11,1167,4,2017,4,10
Tackles,4,12,7,3,2017,4,18
Tackles,4,13,581,3,2017,4,18
Tackles,4,14,7,3,2017,4,10
Tackles,4,15,79,3,2017,4,10
Tackles,4,16,208,3,2017,4,10
Tackles,4,17,213,2,2017,4,18
Tackles,4,18,463,2,2017,4,18
Tackles,4,19,645,2,2017,4,10
Tackles,4,20,1446,2,2017,4,10
Tackles,4,21,15,1,2017,4,18
Tackles,4,22,85,1,2017,4,18
Tackles,4,23,174,1,2017,4,18
Tackles,4,24,604,1,2017,4,18
Tackles,4,25,645,1,2017,4,18
Tackles,4,26,3057,1,2017,4,18
Tackles,4,27,174,1,2017,4,10
Tackles,4,28,340,1,2017,4,10
Tackles,4,29,604,1,2017,4,10
Assists,4,0,458,3,2017,4,18
