Category,Team/All_Teams,Place,Player,Record,Team,Year
Yards per Reception,0,0,3435,1284,0,2018
Yards per Reception,0,1,17,1213,0,2017
Yards per Reception,0,2,2590,1139,0,2017
Yards per Reception,0,3,223,1111,0,2018
Yards per Reception,0,4,1812,1088,0,2018
Yards per Reception,0,5,223,1000,0,2017
Yards per Reception,0,6,86,922,0,2017
Yards per Reception,0,7,597,808,0,2018
Receiving Touchdowns,0,0,223,3,0,2018
Receiving Touchdowns,0,1,597,3,0,2018
Receiving Touchdowns,0,2,3365,3,0,2018
Receiving Touchdowns,0,3,3435,3,0,2018
Receiving Touchdowns,0,4,560,2,0,2017
Receiving Touchdowns,0,5,1812,2,0,2017
Receiving Touchdowns,0,6,1812,2,0,2018
Receiving Touchdowns,0,7,2561,2,0,2018
Receiving Touchdowns,0,8,17,1,0,2017
Receiving Touchdowns,0,9,86,1,0,2017
Receiving Touchdowns,0,10,836,1,0,2017
Receiving Touchdowns,0,11,1057,1,0,2017
Receiving Touchdowns,0,12,654,1,0,2018
Receiving Touchdowns,0,13,778,1,0,2018
Receiving Touchdowns,0,14,1057,1,0,2018
Targeted Passes,0,0,223,121,0,2017
Targeted Passes,0,1,223,102,0,2018
Targeted Passes,0,2,1812,85,0,2018
Targeted Passes,0,3,17,80,0,2017
Targeted Passes,0,4,86,76,0,2017
Targeted Passes,0,5,3435,61,0,2018
Targeted Passes,0,6,597,60,0,2018
Targeted Passes,0,7,654,57,0,2018
Targeted Passes,0,8,2590,54,0,2017
Targeted Passes,0,9,1812,53,0,2017
Targeted Passes,0,10,778,42,0,2018
Targeted Passes,0,11,1084,40,0,2018
Targeted Passes,0,12,2561,35,0,2018
Targeted Passes,0,13,836,33,0,2017
Targeted Passes,0,14,1057,29,0,2018
Targeted Passes,0,15,1057,26,0,2017
Targeted Passes,0,16,560,23,0,2017
Targeted Passes,0,17,3289,17,0,2018
Targeted Passes,0,18,3365,16,0,2018
Targeted Passes,0,19,541,15,0,2017
Targeted Passes,0,20,2463,14,0,2017
Targeted Passes,0,21,1016,11,0,2017
Targeted Passes,0,22,1053,9,0,2017
Targeted Passes,0,23,773,7,0,2017
Targeted Passes,0,24,680,7,0,2018
Targeted Passes,0,25,98,4,0,2018
Passes Dropped,0,0,223,7,0,2017
Passes Dropped,0,1,223,5,0,2018
Passes Dropped,0,2,17,4,0,2017
Passes Dropped,0,3,86,4,0,2017
Passes Dropped,0,4,1812,4,0,2018
Passes Dropped,0,5,3435,4,0,2018
Passes Dropped,0,6,1057,3,0,2017
Passes Dropped,0,7,2590,3,0,2017
Passes Dropped,0,8,597,3,0,2018
Passes Dropped,0,9,654,3,0,2018
Passes Dropped,0,10,2561,3,0,2018
Passes Dropped,0,11,560,2,0,2017
Passes Dropped,0,12,836,2,0,2017
Passes Dropped,0,13,1812,2,0,2017
Passes Dropped,0,14,778,2,0,2018
Passes Dropped,0,15,1057,2,0,2018
Passes Dropped,0,16,98,1,0,2018
100 Yards Receiving,0,0,17,1,0,2017
100 Yards Receiving,0,1,223,1,0,2018
100 Yards Receiving,0,2,2561,1,0,2018
Interceptions,0,0,606,6,0,2018
Interceptions,0,1,1441,5,0,2018
Interceptions,0,2,606,4,0,2017
Interceptions,0,3,724,4,0,2017
Interceptions,0,4,1441,4,0,2017
Interceptions,0,5,387,2,0,2018
Interceptions,0,6,1731,2,0,2018
Interceptions,0,7,345,1,0,2017
Interceptions,0,8,387,1,0,2017
Interceptions,0,9,345,1,0,2018
Interceptions,0,10,448,1,0,2018
Interceptions,0,11,724,1,0,2018
Interceptions,0,12,1466,1,0,2018
Interceptions,0,13,3901,1,0,2018
Pass Defense Percentage,0,0,724,835,0,2017
Pass Defense Percentage,0,1,606,822,0,2017
Pass Defense Percentage,0,2,606,815,0,2018
Pass Defense Percentage,0,3,345,812,0,2018
Pass Defense Percentage,0,4,1441,797,0,2018
Pass Defense Percentage,0,5,387,780,0,2018
Pass Defense Percentage,0,6,1441,767,0,2017
Pass Defense Percentage,0,7,1466,766,0,2018
Pass Defense Percentage,0,8,345,763,0,2017
Pass Defense Percentage,0,9,387,759,0,2017
Tackles,0,0,606,124,0,2018
Tackles,0,1,606,122,0,2017
Tackles,0,2,448,106,0,2018
Tackles,0,3,448,103,0,2017
Tackles,0,4,544,84,0,2017
Tackles,0,5,345,79,0,2017
Tackles,0,6,1731,76,0,2018
Tackles,0,7,1441,68,0,2017
Tackles,0,8,345,67,0,2018
Tackles,0,9,1731,63,0,2017
Tackles,0,10,1441,58,0,2018
Tackles,0,11,72,57,0,2018
Tackles,0,12,1466,57,0,2018
Tackles,0,13,16,46,0,2017
Tackles,0,14,724,45,0,2017
Tackles,0,15,817,44,0,2018
Tackles,0,16,991,37,0,2018
Tackles,0,17,387,36,0,2017
Tackles,0,18,1722,34,0,2017
Tackles,0,19,3779,33,0,2018
Tackles,0,20,1351,27,0,2018
Tackles,0,21,254,26,0,2017
Tackles,0,22,1351,21,0,2017
Tackles,0,23,387,21,0,2018
Tackles,0,24,3901,21,0,2018
Tackles,0,25,615,17,0,2018
Tackles,0,26,817,15,0,2017
Tackles,0,27,991,15,0,2017
Tackles,0,28,63,13,0,2018
Tackles,0,29,982,12,0,2017
Tackles,0,30,998,11,0,2018
Tackles,0,31,2907,11,0,2018
Tackles,0,32,1466,10,0,2017
Tackles,0,33,65,7,0,2017
Tackles,0,34,58,5,0,2017
Tackles,0,35,724,5,0,2018
Tackles,0,36,1722,5,0,2018
Tackles,0,37,94,4,0,2017
Tackles,0,38,65,4,0,2018
Tackles,0,39,960,4,0,2018
Tackles,0,40,223,3,0,2017
Tackles,0,41,2590,3,0,2017
Tackles,0,42,654,3,0,2018
Tackles,0,43,1812,3,0,2018
Tackles,0,44,821,2,0,2017
Tackles,0,45,223,2,0,2018
Tackles,0,46,805,2,0,2018
Tackles,0,47,86,1,0,2017
Tackles,0,48,231,1,0,2017
Tackles,0,49,307,1,0,2017
Tackles,0,50,836,1,0,2017
Tackles,0,51,499,1,0,2018
Tackles,0,52,1057,1,0,2018
Tackles,0,53,3435,1,0,2018
Assists,0,0,606,52,0,2017
Assists,0,1,606,40,0,2018
Assists,0,2,544,33,0,2017
Assists,0,3,448,32,0,2018
Assists,0,4,448,30,0,2017
Assists,0,5,1731,23,0,2017
Assists,0,6,72,23,0,2018
Assists,0,7,1731,23,0,2018
Assists,0,8,724,21,0,2017
Assists,0,9,345,20,0,2018
Assists,0,10,1466,20,0,2018
Assists,0,11,991,19,0,2018
Assists,0,12,16,18,0,2017
Assists,0,13,345,17,0,2017
Assists,0,14,1722,17,0,2017
Assists,0,15,817,17,0,2018
Assists,0,16,1441,16,0,2018
Assists,0,17,254,15,0,2017
Assists,0,18,1351,13,0,2018
Assists,0,19,1441,11,0,2017
Assists,0,20,982,8,0,2017
Assists,0,21,1351,8,0,2017
Assists,0,22,387,8,0,2018
Assists,0,23,3779,8,0,2018
Assists,0,24,991,7,0,2017
Assists,0,25,2907,7,0,2018
Assists,0,26,387,6,0,2017
Assists,0,27,615,5,0,2018
Assists,0,28,998,5,0,2018
Assists,0,29,63,4,0,2018
Assists,0,30,58,3,0,2017
Assists,0,31,817,3,0,2017
Assists,0,32,1466,3,0,2017
Assists,0,33,3901,3,0,2018
Assists,0,34,65,2,0,2017
Assists,0,35,960,2,0,2018
Assists,0,36,1722,2,0,2018
Assists,0,37,94,1,0,2017
Assists,0,38,821,1,0,2017
Assists,0,39,65,1,0,2018
Sacks,0,0,448,100,0,2018
Sacks,0,1,991,60,0,2017
Sacks,0,2,254,50,0,2017
Sacks,0,3,1351,50,0,2018
Sacks,0,4,1731,50,0,2018
Sacks,0,5,998,40,0,2018
Sacks,0,6,991,35,0,2018
Sacks,0,7,982,30,0,2017
Sacks,0,8,1722,30,0,2017
Sacks,0,9,448,20,0,2017
Sacks,0,10,63,20,0,2018
Sacks,0,11,2907,20,0,2018
Sacks,0,12,606,15,0,2017
Sacks,0,13,817,15,0,2017
Sacks,0,14,72,15,0,2018
Sacks,0,15,1351,10,0,2017
Sacks,0,16,1731,10,0,2017
Sacks,0,17,345,10,0,2018
Sacks,0,18,817,10,0,2018
Hurries,0,0,1351,11,0,2017
Hurries,0,1,991,10,0,2017
Hurries,0,2,1351,10,0,2018
Hurries,0,3,254,8,0,2017
Hurries,0,4,448,8,0,2017
Hurries,0,5,1731,8,0,2017
Hurries,0,6,1722,7,0,2017
Hurries,0,7,991,7,0,2018
Hurries,0,8,998,7,0,2018
Hurries,0,9,1731,7,0,2018
Hurries,0,10,2907,6,0,2018
Hurries,0,11,982,5,0,2017
Hurries,0,12,448,5,0,2018
Hurries,0,13,63,4,0,2018
Hurries,0,14,330,3,0,2018
Hurries,0,15,817,2,0,2017
Hurries,0,16,345,2,0,2018
Hurries,0,17,1722,2,0,2018
Hurries,0,18,16,1,0,2017
Hurries,0,19,58,1,0,2017
Hurries,0,20,345,1,0,2017
Hurries,0,21,544,1,0,2017
Hurries,0,22,606,1,0,2018
Hurries,0,23,1441,1,0,2018
Hurries,0,24,1466,1,0,2018
Hurries,0,25,3901,1,0,2018
Blocked Passes,0,0,1731,4,0,2018
Blocked Passes,0,1,58,2,0,2017
Blocked Passes,0,2,817,2,0,2017
Blocked Passes,0,3,1351,2,0,2017
Blocked Passes,0,4,1722,2,0,2017
Blocked Passes,0,5,448,2,0,2018
Blocked Passes,0,6,991,2,0,2018
Blocked Passes,0,7,1441,2,0,2018
Blocked Passes,0,8,254,1,0,2017
Blocked Passes,0,9,72,1,0,2018
Blocked Passes,0,10,330,1,0,2018
Blocked Passes,0,11,805,1,0,2018
Blocked Passes,0,12,817,1,0,2018
Blocked Passes,0,13,998,1,0,2018
Blocked Passes,0,14,1351,1,0,2018
Blocked Passes,0,15,2907,1,0,2018
Field Goals,0,0,3,31,0,2017
Field Goals,0,1,508,23,0,2018
Key Run Blocks,0,0,588,32,0,2018
Key Run Blocks,0,1,3473,32,0,2018
Key Run Blocks,0,2,231,27,0,2017
Key Run Blocks,0,3,492,27,0,2017
Key Run Blocks,0,4,677,25,0,2017
Key Run Blocks,0,5,231,19,0,2018
Key Run Blocks,0,6,1162,18,0,2018
Key Run Blocks,0,7,200,15,0,2017
Key Run Blocks,0,8,1437,15,0,2017
Key Run Blocks,0,9,1437,13,0,2018
Key Run Blocks,0,10,268,6,0,2017
Key Run Blocks,0,11,1162,6,0,2017
Key Run Blocks,0,12,778,2,0,2018
Key Run Blocks,0,13,3365,2,0,2018
Key Run Blocks,0,14,223,1,0,2017
Key Run Blocks,0,15,836,1,0,2017
Key Run Blocks,0,16,1053,1,0,2017
Key Run Blocks,0,17,2463,1,0,2017
Key Run Blocks,0,18,223,1,0,2018
Key Run Opportunities,0,0,3473,90,0,2018
Key Run Opportunities,0,1,231,79,0,2017
Key Run Opportunities,0,2,588,71,0,2018
Key Run Opportunities,0,3,1162,66,0,2018
Key Run Opportunities,0,4,492,61,0,2017
Key Run Opportunities,0,5,1437,61,0,2017
Key Run Opportunities,0,6,231,61,0,2018
Key Run Opportunities,0,7,677,53,0,2017
Key Run Opportunities,0,8,200,49,0,2017
Key Run Opportunities,0,9,1437,49,0,2018
Key Run Opportunities,0,10,268,16,0,2017
Key Run Opportunities,0,11,1162,14,0,2017
Key Run Opportunities,0,12,2463,7,0,2017
Key Run Opportunities,0,13,223,6,0,2017
Key Run Opportunities,0,14,1053,6,0,2017
Key Run Opportunities,0,15,778,6,0,2018
Key Run Opportunities,0,16,836,3,0,2017
Key Run Opportunities,0,17,223,3,0,2018
Key Run Opportunities,0,18,1607,3,0,2018
Key Run Opportunities,0,19,3365,3,0,2018
Key Run Opportunities,0,20,784,1,0,2018
Pancake Blocks,0,0,588,3,0,2018
Pancake Blocks,0,1,231,2,0,2018
Pancake Blocks,0,2,677,1,0,2017
Pancake Blocks,0,3,1162,1,0,2018
Pancake Blocks,0,4,3473,1,0,2018
Passes Defensed,0,0,1731,18,0,2018
Passes Defensed,0,1,345,16,0,2018
Passes Defensed,0,2,606,13,0,2017
Passes Defensed,0,3,1441,13,0,2018
Passes Defensed,0,4,1441,10,0,2017
Passes Defensed,0,5,724,9,0,2017
Passes Defensed,0,6,448,7,0,2017
Passes Defensed,0,7,606,7,0,2018
Passes Defensed,0,8,345,6,0,2017
Passes Defensed,0,9,1731,5,0,2017
Passes Defensed,0,10,817,5,0,2018
Passes Defensed,0,11,1466,5,0,2018
Passes Defensed,0,12,16,4,0,2017
Passes Defensed,0,13,387,4,0,2017
Passes Defensed,0,14,544,4,0,2017
Passes Defensed,0,15,1466,3,0,2017
Passes Defensed,0,16,724,3,0,2018
Passes Defensed,0,17,94,2,0,2017
Passes Defensed,0,18,72,2,0,2018
Passes Defensed,0,19,387,2,0,2018
Passes Defensed,0,20,1722,2,0,2018
Passes Defensed,0,21,3779,2,0,2018
Passes Defensed,0,22,3901,2,0,2018
Passes Defensed,0,23,65,1,0,2017
Passes Defensed,0,24,817,1,0,2017
Passes Defensed,0,25,982,1,0,2017
Passes Defensed,0,26,1722,1,0,2017
Passes Defensed,0,27,1351,1,0,2018
Punt Return Yards,0,0,3901,420,0,2018
Punt Return Yards,0,1,2590,273,0,2017
Punt Return Yards,0,2,3435,57,0,2018
Punt Return Yards,0,3,654,28,0,2018
Punt Return TDs,0,0,3901,2,0,2018
Kickoff Return Yards,0,0,99,707,0,2017
Kickoff Return Yards,0,1,3435,669,0,2018
Kickoff Return Yards,0,2,1441,116,0,2017
Kickoff Return Yards,0,3,3901,76,0,2018
Kickoff Return Yards,0,4,680,24,0,2018
Points Scored,0,0,3,115,0,2017
Points Scored,0,1,508,103,0,2018
Points Scored,0,2,560,54,0,2017
Points Scored,0,3,597,36,0,2018
Points Scored,0,4,307,24,0,2017
Points Scored,0,5,1016,24,0,2017
Points Scored,0,6,1812,18,0,2017
Points Scored,0,7,223,18,0,2018
Points Scored,0,8,1084,18,0,2018
Points Scored,0,9,3289,18,0,2018
Points Scored,0,10,3365,18,0,2018
Points Scored,0,11,3435,18,0,2018
Points Scored,0,12,86,12,0,2017
Points Scored,0,13,307,12,0,2018
Points Scored,0,14,1812,12,0,2018
Points Scored,0,15,2561,12,0,2018
Points Scored,0,16,3901,12,0,2018
Points Scored,0,17,836,8,0,2017
Points Scored,0,18,17,6,0,2017
Points Scored,0,19,606,6,0,2017
Points Scored,0,20,1057,6,0,2017
Points Scored,0,21,1441,6,0,2017
Points Scored,0,22,448,6,0,2018
Points Scored,0,23,606,6,0,2018
Points Scored,0,24,654,6,0,2018
Points Scored,0,25,778,6,0,2018
Points Scored,0,26,1057,6,0,2018
Points Scored,0,27,1441,6,0,2018
Points Scored,0,28,1731,6,0,2018
Points Scored,0,29,223,4,0,2017
Yards from Scrimmage,0,0,86,1125,0,2017
Yards from Scrimmage,0,1,597,958,0,2018
Yards from Scrimmage,0,2,3289,674,0,2018
Yards from Scrimmage,0,3,223,650,0,2017
Yards from Scrimmage,0,4,560,626,0,2017
Yards from Scrimmage,0,5,1812,608,0,2018
Yards from Scrimmage,0,6,223,589,0,2018
Yards from Scrimmage,0,7,307,568,0,2017
Yards from Scrimmage,0,8,17,558,0,2017
Yards from Scrimmage,0,9,3435,475,0,2018
Yards from Scrimmage,0,10,1084,414,0,2018
Yards from Scrimmage,0,11,2590,387,0,2017
Yards from Scrimmage,0,12,1016,376,0,2017
Yards from Scrimmage,0,13,1812,350,0,2017
Yards from Scrimmage,0,14,2561,327,0,2018
Yards from Scrimmage,0,15,654,281,0,2018
Yards from Scrimmage,0,16,836,261,0,2017
Yards from Scrimmage,0,17,1057,216,0,2018
Yards from Scrimmage,0,18,307,203,0,2018
Yards from Scrimmage,0,19,778,175,0,2018
Yards from Scrimmage,0,20,1057,174,0,2017
Yards from Scrimmage,0,21,499,166,0,2018
Yards from Scrimmage,0,22,3365,120,0,2018
Yards from Scrimmage,0,23,541,98,0,2017
Yards from Scrimmage,0,24,1053,72,0,2017
Yards from Scrimmage,0,25,773,45,0,2017
Yards from Scrimmage,0,26,680,37,0,2018
Yards from Scrimmage,0,27,98,34,0,2018
Yards from Scrimmage,0,28,2463,33,0,2017
Yards from Scrimmage,0,29,12,4,0,2017
All-Purpose Yards,0,0,3435,1201,0,2018
All-Purpose Yards,0,1,86,1125,0,2017
All-Purpose Yards,0,2,597,958,0,2018
All-Purpose Yards,0,3,99,707,0,2017
All-Purpose Yards,0,4,3289,674,0,2018
All-Purpose Yards,0,5,2590,660,0,2017
All-Purpose Yards,0,6,223,650,0,2017
All-Purpose Yards,0,7,560,626,0,2017
All-Purpose Yards,0,8,1812,608,0,2018
All-Purpose Yards,0,9,223,592,0,2018
All-Purpose Yards,0,10,307,568,0,2017
All-Purpose Yards,0,11,17,558,0,2017
All-Purpose Yards,0,12,3901,496,0,2018
All-Purpose Yards,0,13,1084,414,0,2018
All-Purpose Yards,0,14,1016,376,0,2017
All-Purpose Yards,0,15,1812,350,0,2017
All-Purpose Yards,0,16,2561,327,0,2018
All-Purpose Yards,0,17,654,309,0,2018
All-Purpose Yards,0,18,836,261,0,2017
All-Purpose Yards,0,19,1057,216,0,2018
All-Purpose Yards,0,20,307,203,0,2018
All-Purpose Yards,0,21,778,175,0,2018
All-Purpose Yards,0,22,1057,174,0,2017
All-Purpose Yards,0,23,499,166,0,2018
All-Purpose Yards,0,24,1441,161,0,2017
All-Purpose Yards,0,25,606,135,0,2018
All-Purpose Yards,0,26,3365,120,0,2018
All-Purpose Yards,0,27,1441,115,0,2018
All-Purpose Yards,0,28,541,98,0,2017
All-Purpose Yards,0,29,1053,72,0,2017
All-Purpose Yards,0,30,724,63,0,2017
All-Purpose Yards,0,31,680,61,0,2018
All-Purpose Yards,0,32,606,53,0,2017
All-Purpose Yards,0,33,1731,51,0,2018
All-Purpose Yards,0,34,773,45,0,2017
All-Purpose Yards,0,35,448,35,0,2018
All-Purpose Yards,0,36,98,34,0,2018
All-Purpose Yards,0,37,2463,33,0,2017
All-Purpose Yards,0,38,724,9,0,2018
All-Purpose Yards,0,39,448,7,0,2017
All-Purpose Yards,0,40,345,7,0,2018
All-Purpose Yards,0,41,12,4,0,2017
All-Purpose Yards,0,42,1351,3,0,2018
Quarterback Rating,1,0,123,983,1,2018
Quarterback Rating,1,1,123,942,1,2017
Pass Attempts,1,0,123,639,1,2018
Pass Attempts,1,1,123,587,1,2017
Pass Attempts,1,2,1646,3,1,2017
Pass Completions,1,0,123,406,1,2018
Pass Completions,1,1,123,379,1,2017
Pass Completions,1,2,1646,1,1,2017
Completion Percentage,1,0,123,646,1,2017
Completion Percentage,1,1,123,635,1,2018
Passing Yards,1,0,123,4761,1,2018
Passing Yards,1,1,123,4241,1,2017
Passing Yards,1,2,1646,26,1,2017
Yards per Pass Attempt,1,0,123,745,1,2018
Yards per Pass Attempt,1,1,123,722,1,2017
Passing Touchdowns,1,0,123,31,1,2018
Passing Touchdowns,1,1,123,27,1,2017
Passing Touchdowns,1,2,1646,1,1,2017
Times Sacked,1,0,123,26,1,2018
Times Sacked,1,1,123,12,1,2017
300 Yards Passing,1,0,123,8,1,2018
300 Yards Passing,1,1,123,5,1,2017
Rushing Attempts,1,0,764,266,1,2018
Rushing Attempts,1,1,764,168,1,2017
Rushing Attempts,1,2,943,134,1,2017
Rushing Attempts,1,3,943,97,1,2018
Rushing Attempts,1,4,1125,58,1,2017
Rushing Attempts,1,5,123,46,1,2017
Rushing Attempts,1,6,3271,40,1,2018
Rushing Attempts,1,7,123,26,1,2018
Rushing Attempts,1,8,767,11,1,2018
Rushing Attempts,1,9,767,9,1,2017
Rushing Attempts,1,10,995,3,1,2018
Rushing Attempts,1,11,488,1,1,2017
Rushing Attempts,1,12,995,1,1,2017
Rushing Attempts,1,13,362,1,1,2018
Rushing Yards,1,0,764,1082,1,2018
Rushing Yards,1,1,764,646,1,2017
Rushing Yards,1,2,943,486,1,2017
Rushing Yards,1,3,123,359,1,2017
Rushing Yards,1,4,943,335,1,2018
Rushing Yards,1,5,1125,274,1,2017
Rushing Yards,1,6,123,202,1,2018
Rushing Yards,1,7,3271,169,1,2018
Rushing Yards,1,8,767,47,1,2017
Rushing Yards,1,9,767,31,1,2018
Rushing Yards,1,10,488,24,1,2017
Rushing Yards,1,11,995,12,1,2018
Yards per Carry,1,0,764,407,1,2018
Yards per Carry,1,1,764,385,1,2017
Yards per Carry,1,2,943,363,1,2017
Rushing Touchdowns,1,0,764,9,1,2018
Rushing Touchdowns,1,1,764,7,1,2017
Rushing Touchdowns,1,2,943,4,1,2017
Rushing Touchdowns,1,3,123,3,1,2017
Rushing Touchdowns,1,4,1125,2,1,2017
Rushing Touchdowns,1,5,123,2,1,2018
Rushing Touchdowns,1,6,3271,2,1,2018
100 Yards Rushing,1,0,764,3,1,2018
100 Yards Rushing,1,1,764,1,1,2017
100 Yards Rushing,1,2,1125,1,1,2017
Receptions,1,0,767,107,1,2017
Receptions,1,1,767,107,1,2018
Receptions,1,2,667,63,1,2017
Receptions,1,3,995,60,1,2018
Receptions,1,4,667,56,1,2018
Receptions,1,5,995,43,1,2017
Receptions,1,6,1270,41,1,2018
Receptions,1,7,943,36,1,2017
Receptions,1,8,362,33,1,2018
Receptions,1,9,943,32,1,2018
Receptions,1,10,488,30,1,2017
Receptions,1,11,1270,29,1,2017
Receptions,1,12,764,28,1,2017
Receptions,1,13,764,25,1,2018
Receptions,1,14,1125,15,1,2017
Receptions,1,15,322,14,1,2017
Receptions,1,16,3433,14,1,2018
Receptions,1,17,985,12,1,2018
Receptions,1,18,1963,12,1,2018
Receptions,1,19,1561,11,1,2018
Receptions,1,20,2502,5,1,2017
Receptions,1,21,1561,4,1,2017
Receptions,1,22,3271,2,1,2018
Receptions,1,23,1464,1,1,2018
Receiving Yards,1,0,767,1541,1,2018
Receiving Yards,1,1,767,1452,1,2017
Receiving Yards,1,2,995,724,1,2018
Receiving Yards,1,3,995,657,1,2017
Receiving Yards,1,4,667,613,1,2017
Receiving Yards,1,5,667,555,1,2018
Receiving Yards,1,6,1270,443,1,2018
Receiving Yards,1,7,488,390,1,2017
Receiving Yards,1,8,362,387,1,2018
