Category,Team/All_Teams,Place,Record,Year,Team,Opponent
Rushing Yards,0,24,79,2017,0,12
Rushing Yards,0,25,73,2018,0,24
Rushing Yards,0,26,64,2017,0,26
Rushing Yards,0,27,57,2017,0,28
Rushing Yards,0,28,56,2018,0,10
Rushing Yards,0,29,55,2018,0,15
Rushing Yards,0,30,48,2017,0,25
Rushing Yards,0,31,47,2018,0,8
Rushing Yards Allowed,0,0,41,2018,0,15
Rushing Yards Allowed,0,1,46,2017,0,25
Rushing Yards Allowed,0,2,46,2018,0,27
Rushing Yards Allowed,0,3,48,2018,0,23
Rushing Yards Allowed,0,4,55,2017,0,31
Rushing Yards Allowed,0,5,61,2017,0,12
Rushing Yards Allowed,0,6,65,2017,0,26
Rushing Yards Allowed,0,7,76,2018,0,20
Rushing Yards Allowed,0,8,80,2018,0,24
Rushing Yards Allowed,0,9,80,2018,0,25
Rushing Yards Allowed,0,10,81,2017,0,26
Rushing Yards Allowed,0,11,88,2017,0,25
Rushing Yards Allowed,0,12,91,2017,0,24
Rushing Yards Allowed,0,13,92,2018,0,26
Rushing Yards Allowed,0,14,95,2018,0,26
Rushing Yards Allowed,0,15,96,2017,0,9
Rushing Yards Allowed,0,16,98,2018,0,25
Rushing Yards Allowed,0,17,106,2018,0,8
Rushing Yards Allowed,0,18,115,2018,0,9
Rushing Yards Allowed,0,19,118,2017,0,18
Rushing Yards Allowed,0,20,120,2017,0,27
Rushing Yards Allowed,0,21,122,2018,0,13
Rushing Yards Allowed,0,22,127,2017,0,24
Rushing Yards Allowed,0,23,143,2017,0,29
Rushing Yards Allowed,0,24,150,2017,0,11
Rushing Yards Allowed,0,25,150,2017,0,7
Rushing Yards Allowed,0,26,157,2018,0,21
Rushing Yards Allowed,0,27,160,2018,0,24
Rushing Yards Allowed,0,28,195,2017,0,21
Rushing Yards Allowed,0,29,198,2018,0,10
Rushing Yards Allowed,0,30,206,2017,0,28
Rushing Yards Allowed,0,31,209,2018,0,5
Total Yards,0,0,444,2018,0,25
Total Yards,0,1,438,2017,0,21
Total Yards,0,2,428,2018,0,25
Total Yards,0,3,411,2017,0,24
Total Yards,0,4,408,2017,0,7
Total Yards,0,5,405,2017,0,11
Total Yards,0,6,399,2018,0,23
Total Yards,0,7,395,2017,0,25
Total Yards,0,8,370,2018,0,13
Total Yards,0,9,367,2018,0,9
Total Yards,0,10,362,2017,0,9
Total Yards,0,11,355,2017,0,31
Total Yards,0,12,348,2018,0,5
Total Yards,0,13,347,2018,0,21
Total Yards,0,14,335,2018,0,26
Total Yards,0,15,324,2018,0,27
Total Yards,0,16,313,2017,0,29
Total Yards,0,17,308,2017,0,27
Total Yards,0,18,294,2017,0,26
Total Yards,0,19,291,2018,0,26
Total Yards,0,20,285,2017,0,12
Total Yards,0,21,280,2018,0,24
Total Yards,0,22,274,2018,0,8
Total Yards,0,23,261,2017,0,18
Total Yards,0,24,240,2018,0,20
Total Yards,0,25,232,2018,0,24
Total Yards,0,26,225,2017,0,25
Total Yards,0,27,214,2017,0,26
Total Yards,0,28,203,2017,0,24
Total Yards,0,29,190,2018,0,15
Total Yards,0,30,141,2017,0,28
Total Yards,0,31,127,2018,0,10
Total Yards Allowed,0,0,234,2018,0,27
Total Yards Allowed,0,1,270,2018,0,24
Total Yards Allowed,0,2,275,2018,0,23
Total Yards Allowed,0,3,281,2018,0,21
Total Yards Allowed,0,4,286,2017,0,31
Total Yards Allowed,0,5,292,2017,0,27
Total Yards Allowed,0,6,293,2018,0,8
Total Yards Allowed,0,7,300,2018,0,20
Total Yards Allowed,0,8,304,2018,0,26
Total Yards Allowed,0,9,307,2017,0,25
Total Yards Allowed,0,10,321,2017,0,24
Total Yards Allowed,0,11,324,2017,0,29
Total Yards Allowed,0,12,330,2018,0,5
Total Yards Allowed,0,13,341,2018,0,25
Total Yards Allowed,0,14,344,2017,0,25
Total Yards Allowed,0,15,350,2018,0,24
Total Yards Allowed,0,16,353,2017,0,26
Total Yards Allowed,0,17,354,2017,0,26
Total Yards Allowed,0,18,356,2018,0,13
Total Yards Allowed,0,19,357,2017,0,24
Total Yards Allowed,0,20,358,2017,0,7
Total Yards Allowed,0,21,358,2017,0,18
Total Yards Allowed,0,22,359,2017,0,12
Total Yards Allowed,0,23,378,2017,0,28
Total Yards Allowed,0,24,383,2018,0,26
Total Yards Allowed,0,25,391,2018,0,9
Total Yards Allowed,0,26,400,2018,0,15
Total Yards Allowed,0,27,416,2018,0,25
Total Yards Allowed,0,28,422,2017,0,11
Total Yards Allowed,0,29,432,2017,0,9
Total Yards Allowed,0,30,434,2017,0,21
Total Yards Allowed,0,31,457,2018,0,10
Pass Attempts,0,0,51,2018,0,8
Pass Attempts,0,1,46,2018,0,24
Pass Attempts,0,2,44,2018,0,13
Pass Attempts,0,3,43,2017,0,21
Pass Attempts,0,4,43,2018,0,27
Pass Attempts,0,5,42,2017,0,25
Pass Attempts,0,6,42,2018,0,25
Pass Attempts,0,7,37,2017,0,9
Pass Attempts,0,8,36,2017,0,25
Pass Attempts,0,9,36,2017,0,24
Pass Attempts,0,10,36,2018,0,26
Pass Attempts,0,11,36,2018,0,26
Pass Attempts,0,12,35,2017,0,26
Pass Attempts,0,13,34,2018,0,21
Pass Attempts,0,14,34,2018,0,25
Pass Attempts,0,15,33,2017,0,11
Pass Attempts,0,16,33,2017,0,31
Pass Attempts,0,17,33,2017,0,12
Pass Attempts,0,18,32,2017,0,26
Pass Attempts,0,19,32,2017,0,24
Pass Attempts,0,20,30,2017,0,29
Pass Attempts,0,21,29,2018,0,10
Pass Attempts,0,22,29,2018,0,5
Pass Attempts,0,23,28,2018,0,15
Pass Attempts,0,24,28,2018,0,23
Pass Attempts,0,25,27,2018,0,24
Pass Attempts,0,26,27,2018,0,20
Pass Attempts,0,27,26,2017,0,7
Pass Attempts,0,28,26,2017,0,27
Pass Attempts,0,29,26,2017,0,28
Pass Attempts,0,30,26,2017,0,18
Pass Attempts,0,31,23,2018,0,9
Rush Attempts,0,0,38,2018,0,25
Rush Attempts,0,1,37,2017,0,11
Rush Attempts,0,2,37,2018,0,21
Rush Attempts,0,3,37,2018,0,23
Rush Attempts,0,4,35,2017,0,25
Rush Attempts,0,5,32,2017,0,31
Rush Attempts,0,6,31,2018,0,20
Rush Attempts,0,7,30,2017,0,9
Rush Attempts,0,8,30,2017,0,7
Rush Attempts,0,9,30,2017,0,27
Rush Attempts,0,10,30,2018,0,5
Rush Attempts,0,11,30,2018,0,26
Rush Attempts,0,12,28,2017,0,26
Rush Attempts,0,13,28,2018,0,25
Rush Attempts,0,14,27,2017,0,12
Rush Attempts,0,15,26,2017,0,24
Rush Attempts,0,16,26,2018,0,9
Rush Attempts,0,17,25,2017,0,29
Rush Attempts,0,18,25,2018,0,24
Rush Attempts,0,19,25,2018,0,27
Rush Attempts,0,20,23,2017,0,21
Rush Attempts,0,21,23,2017,0,25
Rush Attempts,0,22,23,2017,0,18
Rush Attempts,0,23,21,2017,0,24
Rush Attempts,0,24,21,2018,0,15
Rush Attempts,0,25,21,2018,0,13
Rush Attempts,0,26,20,2017,0,26
Rush Attempts,0,27,20,2018,0,26
Rush Attempts,0,28,16,2017,0,28
Rush Attempts,0,29,16,2018,0,24
Rush Attempts,0,30,14,2018,0,8
Rush Attempts,0,31,14,2018,0,10
Points Scored,1,0,41,2017,1,27
Points Scored,1,1,37,2017,1,16
Points Scored,1,2,34,2018,1,27
Points Scored,1,3,34,2018,1,18
Points Scored,1,4,34,2018,1,6
Points Scored,1,5,34,2018,1,27
Points Scored,1,6,32,2017,1,5
Points Scored,1,7,31,2018,1,4
Points Scored,1,8,31,2018,1,21
Points Scored,1,9,30,2017,1,19
Points Scored,1,10,28,2017,1,10
Points Scored,1,11,28,2017,1,4
Points Scored,1,12,28,2017,1,7
Points Scored,1,13,28,2018,1,25
Points Scored,1,14,27,2018,1,7
Points Scored,1,15,25,2017,1,3
Points Scored,1,16,25,2018,1,4
Points Scored,1,17,25,2018,1,17
Points Scored,1,18,24,2017,1,9
Points Scored,1,19,24,2017,1,24
Points Scored,1,20,24,2018,1,9
Points Scored,1,21,21,2017,1,4
Points Scored,1,22,20,2017,1,27
Points Scored,1,23,20,2018,1,29
Points Scored,1,24,17,2017,1,17
Points Scored,1,25,17,2018,1,17
Points Scored,1,26,17,2018,1,2
Points Scored,1,27,16,2017,1,17
Points Scored,1,28,14,2017,1,14
Points Scored,1,29,14,2017,1,15
Points Scored,1,30,10,2018,1,30
Points Scored,1,31,9,2018,1,22
Points Allowed,1,0,3,2017,1,17
Points Allowed,1,1,5,2017,1,9
Points Allowed,1,2,6,2017,1,27
Points Allowed,1,3,10,2017,1,27
Points Allowed,1,4,12,2017,1,4
Points Allowed,1,5,13,2018,1,18
Points Allowed,1,6,13,2018,1,25
Points Allowed,1,7,14,2018,1,27
Points Allowed,1,8,14,2018,1,6
Points Allowed,1,9,14,2018,1,27
Points Allowed,1,10,16,2018,1,30
Points Allowed,1,11,17,2017,1,5
Points Allowed,1,12,17,2017,1,15
Points Allowed,1,13,17,2018,1,29
Points Allowed,1,14,19,2017,1,17
Points Allowed,1,15,19,2018,1,2
Points Allowed,1,16,20,2018,1,9
Points Allowed,1,17,21,2018,1,22
Points Allowed,1,18,24,2017,1,19
Points Allowed,1,19,24,2018,1,17
Points Allowed,1,20,27,2017,1,10
Points Allowed,1,21,27,2017,1,24
Points Allowed,1,22,28,2018,1,17
Points Allowed,1,23,33,2017,1,3
Points Allowed,1,24,33,2018,1,21
Points Allowed,1,25,34,2018,1,7
Points Allowed,1,26,35,2017,1,4
Points Allowed,1,27,38,2017,1,16
Points Allowed,1,28,38,2018,1,4
Points Allowed,1,29,38,2018,1,4
Points Allowed,1,30,42,2017,1,7
Points Allowed,1,31,43,2017,1,14
Passing Yards,1,0,404,2018,1,7
Passing Yards,1,1,376,2018,1,21
Passing Yards,1,2,368,2018,1,4
Passing Yards,1,3,363,2018,1,17
Passing Yards,1,4,358,2018,1,17
Passing Yards,1,5,354,2018,1,27
Passing Yards,1,6,341,2017,1,7
Passing Yards,1,7,335,2017,1,15
Passing Yards,1,8,318,2018,1,9
Passing Yards,1,9,312,2017,1,5
Passing Yards,1,10,311,2017,1,19
Passing Yards,1,11,310,2017,1,24
Passing Yards,1,12,306,2018,1,27
Passing Yards,1,13,294,2017,1,27
Passing Yards,1,14,292,2018,1,4
Passing Yards,1,15,291,2018,1,2
Passing Yards,1,16,289,2017,1,16
Passing Yards,1,17,281,2017,1,4
Passing Yards,1,18,272,2017,1,4
Passing Yards,1,19,270,2017,1,9
Passing Yards,1,20,258,2018,1,18
Passing Yards,1,21,250,2017,1,3
Passing Yards,1,22,243,2017,1,14
Passing Yards,1,23,240,2018,1,25
Passing Yards,1,24,234,2018,1,22
Passing Yards,1,25,209,2017,1,27
Passing Yards,1,26,203,2018,1,6
Passing Yards,1,27,199,2017,1,17
Passing Yards,1,28,199,2018,1,30
Passing Yards,1,29,197,2018,1,29
Passing Yards,1,30,179,2017,1,10
Passing Yards,1,31,172,2017,1,17
Passing Yards Allowed,1,0,118,2017,1,15
Passing Yards Allowed,1,1,118,2018,1,30
Passing Yards Allowed,1,2,151,2018,1,6
Passing Yards Allowed,1,3,155,2017,1,17
Passing Yards Allowed,1,4,155,2018,1,25
Passing Yards Allowed,1,5,169,2018,1,4
Passing Yards Allowed,1,6,181,2017,1,5
Passing Yards Allowed,1,7,182,2018,1,17
Passing Yards Allowed,1,8,185,2017,1,19
Passing Yards Allowed,1,9,187,2017,1,27
Passing Yards Allowed,1,10,192,2017,1,27
Passing Yards Allowed,1,11,206,2018,1,27
Passing Yards Allowed,1,12,220,2018,1,29
Passing Yards Allowed,1,13,228,2018,1,22
Passing Yards Allowed,1,14,237,2018,1,9
Passing Yards Allowed,1,15,248,2017,1,10
Passing Yards Allowed,1,16,252,2018,1,18
Passing Yards Allowed,1,17,258,2017,1,17
Passing Yards Allowed,1,18,261,2017,1,4
Passing Yards Allowed,1,19,269,2018,1,17
Passing Yards Allowed,1,20,276,2017,1,16
Passing Yards Allowed,1,21,279,2018,1,27
Passing Yards Allowed,1,22,279,2018,1,2
Passing Yards Allowed,1,23,291,2017,1,24
Passing Yards Allowed,1,24,305,2017,1,3
Passing Yards Allowed,1,25,311,2017,1,9
Passing Yards Allowed,1,26,319,2017,1,4
Passing Yards Allowed,1,27,328,2018,1,4
Passing Yards Allowed,1,28,334,2018,1,21
Passing Yards Allowed,1,29,367,2018,1,7
Passing Yards Allowed,1,30,382,2017,1,14
Passing Yards Allowed,1,31,385,2017,1,7
Rushing Yards,1,0,187,2018,1,29
Rushing Yards,1,1,182,2017,1,10
Rushing Yards,1,2,181,2017,1,16
Rushing Yards,1,3,166,2018,1,18
Rushing Yards,1,4,142,2017,1,17
Rushing Yards,1,5,142,2018,1,27
Rushing Yards,1,6,136,2017,1,17
Rushing Yards,1,7,136,2018,1,6
Rushing Yards,1,8,134,2018,1,25
Rushing Yards,1,9,133,2017,1,5
Rushing Yards,1,10,133,2017,1,3
Rushing Yards,1,11,133,2017,1,4
Rushing Yards,1,12,131,2017,1,27
Rushing Yards,1,13,128,2018,1,4
Rushing Yards,1,14,126,2018,1,30
Rushing Yards,1,15,123,2017,1,27
Rushing Yards,1,16,120,2018,1,21
Rushing Yards,1,17,115,2017,1,9
Rushing Yards,1,18,110,2017,1,24
Rushing Yards,1,19,108,2018,1,4
Rushing Yards,1,20,100,2018,1,27
Rushing Yards,1,21,98,2018,1,22
Rushing Yards,1,22,90,2017,1,4
Rushing Yards,1,23,90,2018,1,9
Rushing Yards,1,24,80,2018,1,7
Rushing Yards,1,25,77,2018,1,2
Rushing Yards,1,26,70,2018,1,17
Rushing Yards,1,27,67,2017,1,15
Rushing Yards,1,28,66,2018,1,17
Rushing Yards,1,29,63,2017,1,19
Rushing Yards,1,30,58,2017,1,14
Rushing Yards,1,31,34,2017,1,7
Rushing Yards Allowed,1,0,27,2017,1,27
Rushing Yards Allowed,1,1,61,2018,1,21
Rushing Yards Allowed,1,2,62,2018,1,9
Rushing Yards Allowed,1,3,64,2017,1,17
Rushing Yards Allowed,1,4,66,2018,1,27
Rushing Yards Allowed,1,5,76,2018,1,2
Rushing Yards Allowed,1,6,82,2017,1,15
Rushing Yards Allowed,1,7,83,2017,1,5
Rushing Yards Allowed,1,8,86,2018,1,4
Rushing Yards Allowed,1,9,87,2018,1,30
Rushing Yards Allowed,1,10,91,2018,1,6
Rushing Yards Allowed,1,11,96,2017,1,27
Rushing Yards Allowed,1,12,96,2018,1,27
Rushing Yards Allowed,1,13,101,2018,1,29
Rushing Yards Allowed,1,14,105,2018,1,4
Rushing Yards Allowed,1,15,106,2017,1,14
Rushing Yards Allowed,1,16,108,2018,1,17
Rushing Yards Allowed,1,17,122,2017,1,9
Rushing Yards Allowed,1,18,122,2017,1,4
Rushing Yards Allowed,1,19,131,2018,1,17
Rushing Yards Allowed,1,20,138,2017,1,19
Rushing Yards Allowed,1,21,142,2018,1,22
Rushing Yards Allowed,1,22,143,2018,1,18
Rushing Yards Allowed,1,23,147,2017,1,24
Rushing Yards Allowed,1,24,148,2018,1,7
Rushing Yards Allowed,1,25,151,2017,1,16
Rushing Yards Allowed,1,26,159,2017,1,7
Rushing Yards Allowed,1,27,176,2017,1,3
Rushing Yards Allowed,1,28,186,2017,1,17
Rushing Yards Allowed,1,29,200,2018,1,25
Rushing Yards Allowed,1,30,209,2017,1,10
Rushing Yards Allowed,1,31,226,2017,1,4
Total Yards,1,0,468,2018,1,7
Total Yards,1,1,467,2017,1,16
Total Yards,1,2,465,2018,1,4
Total Yards,1,3,464,2018,1,21
Total Yards,1,4,445,2017,1,5
Total Yards,1,5,437,2018,1,27
Total Yards,1,6,436,2018,1,27
Total Yards,1,7,424,2018,1,17
Total Yards,1,8,424,2018,1,17
Total Yards,1,9,418,2018,1,18
Total Yards,1,10,417,2017,1,27
Total Yards,1,11,414,2017,1,24
Total Yards,1,12,412,2018,1,4
Total Yards,1,13,402,2017,1,15
Total Yards,1,14,400,2017,1,4
Total Yards,1,15,399,2018,1,9
Total Yards,1,16,383,2017,1,3
Total Yards,1,17,379,2017,1,9
Total Yards,1,18,375,2017,1,7
Total Yards,1,19,375,2018,1,29
Total Yards,1,20,363,2017,1,19
Total Yards,1,21,361,2017,1,10
Total Yards,1,22,357,2018,1,2
Total Yards,1,23,351,2017,1,4
Total Yards,1,24,346,2018,1,25
Total Yards,1,25,335,2017,1,17
Total Yards,1,26,334,2017,1,27
Total Yards,1,27,329,2018,1,22
Total Yards,1,28,329,2018,1,6
Total Yards,1,29,325,2018,1,30
Total Yards,1,30,314,2017,1,17
Total Yards,1,31,283,2017,1,14
Total Yards Allowed,1,0,170,2017,1,27
Total Yards Allowed,1,1,185,2017,1,15
Total Yards Allowed,1,2,200,2017,1,17
Total Yards Allowed,1,3,200,2018,1,30
Total Yards Allowed,1,4,214,2018,1,6
Total Yards Allowed,1,5,242,2017,1,5
Total Yards Allowed,1,6,245,2018,1,4
Total Yards Allowed,1,7,275,2017,1,27
Total Yards Allowed,1,8,286,2018,1,29
Total Yards Allowed,1,9,293,2018,1,9
Total Yards Allowed,1,10,300,2018,1,17
Total Yards Allowed,1,11,301,2018,1,27
Total Yards Allowed,1,12,302,2017,1,19
Total Yards Allowed,1,13,336,2018,1,27
Total Yards Allowed,1,14,340,2018,1,25
Total Yards Allowed,1,15,342,2018,1,2
Total Yards Allowed,1,16,346,2018,1,18
Total Yards Allowed,1,17,350,2018,1,21
Total Yards Allowed,1,18,362,2018,1,17
Total Yards Allowed,1,19,364,2018,1,22
Total Yards Allowed,1,20,371,2017,1,4
Total Yards Allowed,1,21,403,2017,1,9
Total Yards Allowed,1,22,406,2018,1,4
Total Yards Allowed,1,23,424,2017,1,16
Total Yards Allowed,1,24,435,2017,1,17
Total Yards Allowed,1,25,438,2017,1,24
Total Yards Allowed,1,26,440,2017,1,10
Total Yards Allowed,1,27,461,2017,1,14
Total Yards Allowed,1,28,481,2017,1,3
Total Yards Allowed,1,29,506,2018,1,7
Total Yards Allowed,1,30,540,2017,1,7
Total Yards Allowed,1,31,545,2017,1,4
Pass Attempts,1,0,51,2018,1,22
Pass Attempts,1,1,50,2017,1,15
Pass Attempts,1,2,50,2018,1,2
Pass Attempts,1,3,49,2017,1,7
Pass Attempts,1,4,48,2018,1,4
Pass Attempts,1,5,47,2018,1,7
Pass Attempts,1,6,46,2018,1,17
Pass Attempts,1,7,45,2018,1,9
Pass Attempts,1,8,44,2017,1,14
Pass Attempts,1,9,43,2017,1,19
Pass Attempts,1,10,43,2017,1,17
Pass Attempts,1,11,43,2018,1,30
Pass Attempts,1,12,40,2018,1,21
Pass Attempts,1,13,39,2017,1,4
Pass Attempts,1,14,39,2018,1,27
Pass Attempts,1,15,38,2017,1,3
Pass Attempts,1,16,38,2017,1,24
Pass Attempts,1,17,38,2018,1,4
Pass Attempts,1,18,36,2017,1,16
Pass Attempts,1,19,36,2018,1,17
Pass Attempts,1,20,35,2017,1,27
Pass Attempts,1,21,34,2018,1,27
Pass Attempts,1,22,33,2017,1,9
Pass Attempts,1,23,33,2017,1,27
Pass Attempts,1,24,33,2018,1,6
Pass Attempts,1,25,32,2017,1,17
Pass Attempts,1,26,32,2018,1,18
Pass Attempts,1,27,31,2018,1,25
Pass Attempts,1,28,29,2017,1,4
Pass Attempts,1,29,26,2017,1,5
Pass Attempts,1,30,26,2018,1,29
Pass Attempts,1,31,22,2017,1,10
Rush Attempts,1,0,41,2018,1,29
Rush Attempts,1,1,36,2017,1,5
Rush Attempts,1,2,36,2017,1,17
Rush Attempts,1,3,36,2018,1,25
Rush Attempts,1,4,34,2017,1,10
Rush Attempts,1,5,32,2018,1,21
Rush Attempts,1,6,32,2018,1,27
Rush Attempts,1,7,31,2018,1,18
Rush Attempts,1,8,30,2017,1,27
Rush Attempts,1,9,30,2017,1,27
Rush Attempts,1,10,30,2018,1,30
Rush Attempts,1,11,30,2018,1,9
Rush Attempts,1,12,29,2017,1,24
Rush Attempts,1,13,29,2018,1,6
Rush Attempts,1,14,28,2017,1,9
Rush Attempts,1,15,28,2017,1,4
Rush Attempts,1,16,28,2018,1,27
Rush Attempts,1,17,28,2018,1,22
Rush Attempts,1,18,27,2018,1,4
Rush Attempts,1,19,26,2017,1,16
Rush Attempts,1,20,25,2017,1,3
Rush Attempts,1,21,25,2018,1,17
Rush Attempts,1,22,24,2017,1,15
Rush Attempts,1,23,24,2018,1,17
Rush Attempts,1,24,23,2017,1,17
Rush Attempts,1,25,22,2018,1,4
Rush Attempts,1,26,21,2017,1,4
Rush Attempts,1,27,20,2017,1,19
Rush Attempts,1,28,16,2017,1,14
Rush Attempts,1,29,15,2018,1,7
Rush Attempts,1,30,14,2018,1,2
Rush Attempts,1,31,11,2017,1,7
Points Scored,2,0,47,2017,2,11
Points Scored,2,1,40,2017,2,31
Points Scored,2,2,33,2018,2,27
Points Scored,2,3,33,2018,2,13
Points Scored,2,4,33,2018,2,23
Points Scored,2,5,31,2018,2,30
Points Scored,2,6,30,2018,2,20
Points Scored,2,7,29,2017,2,30
Points Scored,2,8,27,2017,2,14
Points Scored,2,9,26,2017,2,9
Points Scored,2,10,26,2017,2,6
Points Scored,2,11,25,2017,2,6
Points Scored,2,12,24,2017,2,20
Points Scored,2,13,24,2017,2,15
Points Scored,2,14,24,2018,2,31
Points Scored,2,15,24,2018,2,30
Points Scored,2,16,23,2018,2,22
