Year,Team,Playoff_Performance,Average_Attendance,Percent_of_Capacity_(of_1000),TV_Contract_(all_money_is_in_thousands),Ticket_Revenue,Suite_Revenue,Salary_Cost,Bonuses,Concessions,Parking,Advertising,Staff_Cost,Maintenance,Stadium_Payments,Overall_Performance,Franchise_Value,Profit,Season_Tickets_Sold,Capacity,Top_Quarterback,Top_Rusher,Top_Receiver,Top_Tackler,Coach,Quarterback_Passing_Yardage,Rusher_Yardage,Receiver_Yardage,Tackles
2018,16,Division,66300,992,68920,109160,52720,74920,61100,16950,2430,44160,21350,8910,0,76,1188870,128060,61900,66800,771,3264,151,241,80,4279,894,942,111
2018,17,Division,74100,968,68920,77050,21940,69950,52340,3570,3780,17690,20010,7740,36660,62,790850,6250,66300,76500,1008,103,1411,660,85,3519,826,1221,120
2018,18,None,79700,966,68920,116090,121090,98170,66930,16830,4450,37730,11850,7410,0,73,1168190,180750,68500,82500,21,781,1392,946,90,3577,729,1602,116
2018,19,None,72600,880,68920,97700,103560,65180,65910,14410,3870,31120,12410,7080,0,55,852880,169000,60400,82500,1250,347,453,1314,95,2763,794,693,100
2018,20,None,15600,292,68920,22120,20390,113260,69590,2190,370,14380,21540,8410,2000,41,892510,-86430,14500,53300,729,1431,843,1292,180,3778,542,986,106
2018,21,None,68000,977,68920,123780,100530,83240,54430,22220,2390,44810,24840,7490,0,68,1206100,192650,61400,69600,1435,199,561,471,17,2159,951,1146,83
2018,22,Division,67600,988,68920,85760,58210,80460,85660,10950,2050,34030,37950,8520,0,68,871830,47330,60000,68400,3203,536,3383,1207,260,3028,1102,847,95
2018,23,None,19000,633,68920,29250,10680,93180,71380,3620,1020,21640,10520,5120,4000,43,1009670,-49070,16600,30000,24,986,3418,1172,115,1905,831,870,111
2018,24,Wild Card,67900,998,68920,104480,47390,76310,119850,14950,6700,42670,18020,8440,0,71,1202650,62490,64600,68000,513,1495,848,3846,120,4047,607,959,108
2018,25,None,66600,972,68920,90660,97240,61840,76360,9820,3500,37860,16300,7690,0,58,909740,145810,59400,68500,112,786,571,1656,125,3290,1375,1109,126
2018,26,Won Conference,52200,652,68920,67840,2180,108900,53120,3700,1000,7680,14700,9120,2000,63,802910,-36520,40700,80000,1240,992,1648,348,130,4697,1069,1745,106
2018,27,None,47400,719,68920,41110,28080,103360,90080,3820,3120,14200,11510,5210,0,55,752950,-50910,39000,65900,1139,466,1613,609,135,3787,1138,720,107
2018,28,Conference,65900,953,68920,92020,58250,83040,96790,9480,5120,24620,10980,7410,0,76,909740,60190,49000,69100,1034,1261,1523,898,140,3607,1018,1192,112
2018,29,Division,69300,845,68920,104220,110310,91310,73950,14170,4720,27000,29770,7680,0,78,1047580,126630,54100,82000,400,1671,630,327,248,2992,712,1491,93
2018,30,None,43600,642,68920,44570,31650,69140,51940,5830,910,17580,11190,5730,0,49,711590,31460,37500,67900,1301,1017,1319,1386,150,2137,853,710,116
2018,31,None,71600,991,68920,93410,74870,116870,43890,9860,3460,33790,13820,7900,0,57,951090,101830,64000,72200,1804,711,580,146,155,3842,743,1054,88
2017,0,None,60400,952,66800,107790,33780,108800,0,9780,1450,30610,13380,6140,0,54,891780,124490,53900,63400,307,86,223,606,0,3157,673,650,122
2017,1,None,70800,997,66800,97300,111430,102320,0,14940,3950,43770,12290,6860,0,75,1252500,216720,65100,71000,123,764,767,1289,5,4241,646,1452,133
2017,2,Division,69200,974,66800,111830,55790,60750,0,15340,6050,34900,17000,7920,0,75,885100,205040,60000,71000,105,890,188,833,10,4782,862,1175,101
2017,3,Conference,61000,851,66800,73030,31330,93410,0,9700,3290,18850,13210,7230,0,67,803270,89150,48500,71600,366,366,436,584,15,4047,534,1226,97
2017,4,Division,74800,992,66800,128970,85790,100230,0,25440,2690,43980,14420,8080,0,83,1399460,230940,66100,75400,340,1674,85,458,20,3868,1200,883,91
2017,5,None,56800,923,66800,92890,67360,99060,0,16360,1810,39280,10970,6770,0,58,1175680,167700,51000,61500,1790,1273,517,910,25,3286,599,685,85
2017,6,Wild Card,49900,761,66800,60720,34740,113860,0,11180,5140,24760,11340,5590,0,62,871740,72550,41900,65500,302,537,1750,350,30,3942,809,1109,94
2017,7,None,79200,990,66800,117420,129010,74030,0,12440,9010,38500,14300,8120,0,80,1169000,276730,72500,80000,1367,1223,14,1020,35,4648,1670,1031,105
2017,8,None,76000,998,66800,110650,58840,107300,0,17260,6590,42670,9310,8440,0,70,1175680,177760,73100,76100,624,103,260,465,40,3156,782,859,92
2017,9,None,56000,861,66800,75840,46200,82460,0,9750,4590,29470,10530,6950,0,53,935200,132710,48700,65000,182,1142,1574,510,45,3173,836,1122,115
2017,10,Champion,81300,998,66800,111700,40190,99860,19540,14830,2640,28180,12990,11460,0,77,1042080,120490,79900,81400,39,1629,696,166,50,4127,1274,1058,100
2017,11,None,66500,992,66800,83790,75470,102840,0,10120,1890,38300,10940,8190,0,68,1018700,154400,61400,67000,464,503,435,355,55,3754,701,810,89
2017,12,None,52600,782,66800,59440,12900,110720,0,4200,3370,16850,9240,5730,0,50,761520,37870,44100,67200,112,1560,785,1279,60,3714,1015,1046,120
2017,13,Won Conference,72100,943,66800,96600,18510,100090,0,7020,4070,19180,16760,8850,0,73,908480,86480,55800,76400,40,1615,593,198,65,4150,1662,1363,94
2017,14,None,52100,804,66800,54440,29500,104080,0,1590,2660,13230,9070,5920,0,40,652970,49150,43300,64800,44,905,803,1683,70,3332,1033,1358,100
2017,15,None,62200,932,66800,89110,71680,106050,0,8440,1630,33260,10280,7000,0,65,948560,147590,52900,66700,592,1514,874,704,75,2491,857,663,111
2017,16,None,66400,994,66800,109090,48100,87690,0,15030,2150,43660,20650,8600,0,73,1275880,167890,63100,66800,2,892,225,434,80,3424,950,850,120
2017,17,Wild Card,74000,967,66800,83090,23230,76440,0,3480,3680,17530,17430,7480,0,67,734800,96460,66400,76500,5,1310,1411,660,85,2984,897,849,121
2017,18,Wild Card,80000,969,66800,120380,127450,102320,0,17740,4690,35820,9250,7010,0,88,1142280,254300,67200,82500,21,1362,1392,946,90,4234,872,1212,108
2017,19,None,74300,900,66800,94920,101510,80230,0,14050,3840,31510,9910,6790,0,64,925180,215700,59900,82500,10,347,453,1450,95,2337,859,720,118
2017,20,Division,14700,275,66800,36240,17860,128040,0,1740,290,13420,9060,7890,2000,57,828320,-10640,13600,53300,729,1431,145,201,100,4041,748,1134,95
2017,21,None,69100,992,66800,125110,107570,90710,0,22280,2390,45940,9250,7330,0,72,1292580,262800,63800,69600,1435,199,904,160,105,3647,937,1340,98
2017,22,None,67500,986,66800,81620,53830,89860,0,9780,1830,34420,16770,8310,0,49,921840,133340,61200,68400,25,536,1013,1806,110,2382,1241,797,103
2017,23,None,19400,646,66800,30330,11300,90690,0,3780,1070,22500,10190,5170,4000,47,1038740,25730,17100,30000,24,986,8,715,115,1974,405,673,121
2017,24,Division,67700,995,66800,96840,42910,107860,0,14070,6300,39250,17080,7890,0,73,1185700,133340,62000,68000,513,597,848,506,120,3920,869,780,97
2017,25,None,67100,979,66800,90540,96620,66130,0,9890,3460,38670,9880,7500,0,64,995320,222470,62700,68500,156,786,571,1112,125,2823,1071,1016,97
2017,26,Conference,45800,572,66800,52400,1640,126800,0,2430,670,6640,13080,8320,2000,62,794920,-19620,37600,80000,1240,992,530,620,130,4061,1017,799,113
2017,27,None,47500,720,66800,37470,27420,113980,0,3620,2950,13510,10040,4890,0,49,696390,22860,39000,65900,1139,466,757,907,135,3584,1035,1140,130
2017,28,None,61000,882,66800,65690,43330,102040,0,6760,3650,22880,10560,6790,0,57,833330,89720,49600,69100,1034,1261,216,353,140,3897,752,944,76
2017,29,None,67400,821,66800,86970,95120,116040,0,12120,3970,25840,10240,7250,0,65,1015360,157290,55000,82000,400,1299,1214,395,145,4259,667,1130,108
2017,30,None,45400,668,66800,56340,30930,78790,0,5470,850,18530,10840,5680,0,43,706410,83610,39700,67900,1301,1530,1708,802,150,3125,765,759,131
2017,31,Wild Card,71000,983,66800,93140,76100,112350,0,10210,3580,31540,12980,7430,0,72,931860,148610,63700,72200,854,473,580,146,155,3941,969,882,108
