Stage,Year,Player_ID/Staff_ID/Round,Transaction,Team,Position_Group/Year,Money,Years/Original_Position/Destination_City,Original_Team/Destination_Position/Misc.
Staff Draft,2019,125,hired as head coach,25,0,0,0,0
Staff Draft,2019,291,hired as head coach,16,0,0,0,0
Staff Draft,2019,181,hired as head coach,31,0,0,0,0
Staff Draft,2019,155,fired as head coach,31,0,0,0,0
Staff Draft,2019,121,hired as head coach,24,0,0,0,0
Staff Draft,2019,281,hired as head coach,30,0,0,0,0
Staff Draft,2019,150,fired as head coach,30,0,0,0,0
Staff Draft,2019,38,hired as head coach,10,0,0,0,0
Staff Draft,2019,228,fired as head coach,10,0,0,0,0
Staff Draft,2019,33,hired as head coach,6,0,0,0,0
Staff Draft,2019,85,hired as head coach,17,0,0,0,0
Staff Draft,2019,115,hired as head coach,23,0,0,0,0
Staff Draft,2019,150,hired as offensive coordinator,21,0,0,0,0
Staff Draft,2019,91,hired as offensive coordinator,18,0,0,0,0
Staff Draft,2019,81,hired as offensive coordinator,16,0,0,0,0
Staff Draft,2019,116,hired as offensive coordinator,15,0,0,0,0
Staff Draft,2019,244,hired as offensive coordinator,24,0,0,0,0
Staff Draft,2019,111,hired as offensive coordinator,22,0,0,0,0
Staff Draft,2019,51,hired as offensive coordinator,6,0,0,0,0
Staff Draft,2019,86,hired as offensive coordinator,17,0,0,0,0
Staff Draft,2019,213,hired as offensive coordinator,26,0,0,0,0
Staff Draft,2019,184,hired as offensive coordinator,23,0,0,0,0
Staff Draft,2019,82,hired as defensive coordinator,7,0,0,0,0
Staff Draft,2019,107,hired as defensive coordinator,21,0,0,0,0
Staff Draft,2019,32,hired as defensive coordinator,18,0,0,0,0
Staff Draft,2019,112,hired as defensive coordinator,19,0,0,0,0
Staff Draft,2019,42,hired as defensive coordinator,8,0,0,0,0
Staff Draft,2019,122,hired as defensive coordinator,16,0,0,0,0
Staff Draft,2019,264,hired as defensive coordinator,24,0,0,0,0
Staff Draft,2019,255,hired as defensive coordinator,28,0,0,0,0
Staff Draft,2019,113,hired as defensive coordinator,22,0,0,0,0
Staff Draft,2019,2,hired as defensive coordinator,0,0,0,0,0
Staff Draft,2019,110,hired as defensive coordinator,10,0,0,0,0
Staff Draft,2019,188,fired as defensive coordinator,10,0,0,0,0
Staff Draft,2019,72,hired as defensive coordinator,6,0,0,0,0
Staff Draft,2019,117,hired as defensive coordinator,12,0,0,0,0
Staff Draft,2019,188,hired as defensive coordinator,14,0,0,0,0
Staff Draft,2019,166,hired as defensive coordinator,23,0,0,0,0
Staff Draft,2019,102,hired as defensive coordinator,20,0,0,0,0
Staff Draft,2019,306,hired as assistant coach,7,0,0,0,0
Staff Draft,2019,8,hired as assistant coach,1,0,0,0,0
Staff Draft,2019,292,hired as assistant coach,8,0,0,0,0
Staff Draft,2019,58,hired as assistant coach,11,0,0,0,0
Staff Draft,2019,53,hired as assistant coach,31,0,0,0,0
Staff Draft,2019,48,hired as assistant coach,9,0,0,0,0
Staff Draft,2019,155,hired as assistant coach,28,0,0,0,0
Staff Draft,2019,223,hired as assistant coach,22,0,0,0,0
Staff Draft,2019,235,hired as assistant coach,0,0,0,0,0
Staff Draft,2019,208,hired as assistant coach,6,0,0,0,0
Staff Draft,2019,171,hired as assistant coach,17,0,0,0,0
Staff Draft,2019,295,hired as assistant coach,14,0,0,0,0
Staff Draft,2019,118,hired as assistant coach,23,0,0,0,0
Staff Draft,2019,302,hired as strength coordinator,19,0,0,0,0
Staff Draft,2019,154,hired as strength coordinator,16,0,0,0,0
Staff Draft,2019,124,hired as strength coordinator,24,0,0,0,0
Staff Draft,2019,99,hired as strength coordinator,30,0,0,0,0
Staff Draft,2019,139,hired as strength coordinator,27,0,0,0,0
Staff Draft,2019,72,changed primary position,0,ILB,0,MLB,0,ILB,0,MLB,
Staff Draft,2019,805,changed primary position,0,DT,0,LDT,0,DT,0,LDT,
Staff Draft,2019,2180,changed primary position,1,DT,0,NT,1,DT,0,NT,
Staff Draft,2019,862,changed primary position,4,DE,0,LDT,4,DE,0,LDT,
Staff Draft,2019,1119,changed primary position,7,ILB,0,SILB,7,ILB,0,SILB,
Staff Draft,2019,2265,changed primary position,7,ILB,0,WILB,7,ILB,0,WILB,
Staff Draft,2019,3716,changed primary position,8,DE,0,LDT,8,DE,0,LDT,
Staff Draft,2019,3797,changed primary position,8,ILB,0,MLB,8,ILB,0,MLB,
Staff Draft,2019,1447,changed primary position,9,ILB,0,SILB,9,ILB,0,SILB,
Staff Draft,2019,3737,changed primary position,9,DT,0,NT,9,DT,0,NT,
Staff Draft,2019,440,changed primary position,12,DE,0,LDT,12,DE,0,LDT,
Staff Draft,2019,975,changed primary position,12,DT,0,LDT,12,DT,0,LDT,
Staff Draft,2019,1716,changed primary position,12,ILB,0,MLB,12,ILB,0,MLB,
Staff Draft,2019,2230,changed primary position,12,ILB,0,MLB,12,ILB,0,MLB,
Staff Draft,2019,263,changed primary position,14,DE,0,RDT,14,DE,0,RDT,
Staff Draft,2019,1683,changed primary position,14,ILB,0,MLB,14,ILB,0,MLB,
Staff Draft,2019,1117,changed primary position,15,ILB,0,WILB,15,ILB,0,WILB,
Staff Draft,2019,2934,changed primary position,18,DT,0,NT,18,DT,0,NT,
Staff Draft,2019,2962,changed primary position,20,ILB,0,SILB,20,ILB,0,SILB,
Staff Draft,2019,616,changed primary position,23,ILB,0,MLB,23,ILB,0,MLB,
Staff Draft,2019,3740,changed primary position,23,DE,0,RDT,23,DE,0,RDT,
Staff Draft,2019,83,changed primary position,24,DT,0,NT,24,DT,0,NT,
Staff Draft,2019,544,changed primary position,24,ILB,0,SILB,24,ILB,0,SILB,
Staff Draft,2019,1361,changed primary position,24,DT,0,NT,24,DT,0,NT,
Staff Draft,2019,535,changed primary position,28,OLB,0,WILB,28,OLB,0,WILB,
Staff Draft,2019,686,changed primary position,28,DT,0,NT,28,DT,0,NT,
Staff Draft,2019,898,changed primary position,28,OLB,0,SILB,28,OLB,0,SILB,
Staff Draft,2019,1285,changed primary position,28,DT,0,NT,28,DT,0,NT,
Staff Draft,2019,1484,changed primary position,28,OLB,0,SILB,28,OLB,0,SILB,
Staff Draft,2019,3741,changed primary position,31,DE,0,RDT,31,DE,0,RDT,
FA Stage 1,2019,670,released,1,CB,0,0,0
FA Stage 1,2019,105,released,2,QB,0,0,0
FA Stage 1,2019,452,released,4,T,0,0,0
FA Stage 1,2019,311,released,6,WR,0,0,0
FA Stage 1,2019,1062,released,6,T,0,0,0
FA Stage 1,2019,266,released,8,WR,0,0,0
FA Stage 1,2019,650,released,9,CB,0,0,0
FA Stage 1,2019,673,released,9,T,0,0,0
FA Stage 1,2019,558,released,11,TE,0,0,0
FA Stage 1,2019,342,released,12,T,0,0,0
FA Stage 1,2019,539,released,12,CB,0,0,0
FA Stage 1,2019,235,released,14,S,0,0,0
FA Stage 1,2019,263,released,14,DE,0,0,0
FA Stage 1,2019,224,released,15,DE,0,0,0
FA Stage 1,2019,236,released,15,DT,0,0,0
FA Stage 1,2019,635,released,15,T,0,0,0
FA Stage 1,2019,636,released,15,CB,0,0,0
FA Stage 1,2019,21,released,18,QB,0,0,0
FA Stage 1,2019,255,released,18,DE,0,0,0
FA Stage 1,2019,442,released,18,CB,0,0,0
FA Stage 1,2019,317,released,20,C,0,0,0
FA Stage 1,2019,24,released,23,QB,0,0,0
FA Stage 1,2019,252,released,23,T,0,0,0
FA Stage 1,2019,438,released,23,OLB,0,0,0
FA Stage 1,2019,496,released,23,T,0,0,0
FA Stage 1,2019,506,released,24,ILB,0,0,0
FA Stage 1,2019,113,released,27,WR,0,0,0
FA Stage 1,2019,243,released,27,DT,0,0,0
FA Stage 1,2019,379,released,27,P,0,0,0
FA Stage 1,2019,466,released,27,RB,0,0,0
FA Stage 1,2019,1105,released,27,T,0,0,0
FA Stage 1,2019,251,released,28,OLB,0,0,0
FA Stage 1,2019,641,released,28,CB,0,0,0
FA Stage 1,2019,327,released,29,OLB,0,0,0
FA Stage 1,2019,378,released,31,G,0,0,0
FA Stage 1,2019,760,released,31,TE,0,0,0
FA Stage 1,2019,164,released,1,C,0,0,0
FA Stage 1,2019,502,released,2,K,0,0,0
FA Stage 1,2019,217,released,2,TE,0,0,0
FA Stage 1,2019,170,released,3,RB,0,0,0
FA Stage 1,2019,644,released,4,WR,0,0,0
FA Stage 1,2019,1181,released,4,DT,0,0,0
FA Stage 1,2019,862,released,4,DE,0,0,0
FA Stage 1,2019,192,released,4,S,0,0,0
FA Stage 1,2019,114,released,4,TE,0,0,0
FA Stage 1,2019,411,released,4,FB,0,0,0
FA Stage 1,2019,1102,released,4,QB,0,0,0
FA Stage 1,2019,1389,released,4,CB,0,0,0
FA Stage 1,2019,1409,released,4,T,0,0,0
FA Stage 1,2019,574,released,11,DE,0,0,0
FA Stage 1,2019,847,released,12,S,0,0,0
FA Stage 1,2019,341,released,13,S,0,0,0
FA Stage 1,2019,434,released,16,ILB,0,0,0
FA Stage 1,2019,456,released,20,P,0,0,0
FA Stage 1,2019,576,released,20,CB,0,0,0
FA Stage 1,2019,1090,released,20,WR,0,0,0
FA Stage 1,2019,409,released,20,DE,0,0,0
FA Stage 1,2019,481,released,20,OLB,0,0,0
FA Stage 1,2019,373,released,21,G,0,0,0
FA Stage 1,2019,677,released,21,T,0,0,0
FA Stage 1,2019,314,released,22,DE,0,0,0
FA Stage 1,2019,328,released,22,C,0,0,0
FA Stage 1,2019,152,released,22,G,0,0,0
FA Stage 1,2019,284,released,24,WR,0,0,0
FA Stage 1,2019,460,released,24,CB,0,0,0
FA Stage 1,2019,96,released,24,DE,0,0,0
FA Stage 1,2019,70,released,24,K,0,0,0
FA Stage 1,2019,222,released,24,TE,0,0,0
FA Stage 1,2019,324,released,29,C,0,0,0
FA Stage 1,2019,951,released,29,WR,0,0,0
FA Stage 1,2019,1299,released,29,RB,0,0,0
FA Stage 1,2019,887,released,29,P,0,0,0
FA Stage 1,2019,1002,released,29,TE,0,0,0
FA Stage 1,2019,832,released,29,T,0,0,0
FA Stage 1,2019,320,released,29,DT,0,0,0
FA Stage 1,2019,939,released,29,T,0,0,0
FA Stage 1,2019,366,designated as a franchise player,3,QB,0,0,0
FA Stage 1,2019,1116,designated as a franchise player,4,OLB,0,0,0
FA Stage 1,2019,771,designated as a franchise player,16,QB,0,0,0
FA Stage 1,2019,1083,designated as a franchise player,19,CB,0,0,0
FA Stage 1,2019,1510,signed to a new contract,10,DE,171,2,10
FA Stage 1,2019,2693,signed to a new contract,10,G,149,2,10
