Category,Team/All_Teams,Place,Player,Record,Year,Team,Opponent
Completion Percentage,0,3,307,733,2017,0,29
Completion Percentage,0,4,499,705,2018,0,13
Completion Percentage,0,5,307,704,2018,0,24
Completion Percentage,0,6,307,698,2017,0,21
Completion Percentage,0,7,307,692,2017,0,27
Completion Percentage,0,8,307,692,2017,0,18
Completion Percentage,0,9,307,679,2018,0,15
Completion Percentage,0,10,307,636,2017,0,31
Completion Percentage,0,11,499,611,2018,0,26
Completion Percentage,0,12,307,600,2018,0,26
Completion Percentage,0,13,499,588,2018,0,21
Completion Percentage,0,14,307,588,2018,0,25
Completion Percentage,0,15,307,576,2017,0,12
Completion Percentage,0,16,307,571,2017,0,25
Completion Percentage,0,17,499,569,2018,0,8
Completion Percentage,0,18,307,568,2017,0,9
Completion Percentage,0,19,499,548,2018,0,25
Completion Percentage,0,20,307,543,2017,0,26
Completion Percentage,0,21,307,538,2017,0,28
Completion Percentage,0,22,307,536,2018,0,23
Completion Percentage,0,23,499,535,2018,0,27
Completion Percentage,0,24,307,515,2017,0,11
Completion Percentage,0,25,499,488,2018,0,24
Completion Percentage,0,26,307,469,2017,0,26
Completion Percentage,0,27,307,469,2017,0,24
Completion Percentage,0,28,307,389,2017,0,25
Completion Percentage,0,29,499,381,2018,0,10
Passing Yards,0,0,307,354,2017,0,21
Passing Yards,0,1,499,284,2018,0,9
Passing Yards,0,2,307,272,2018,0,25
Passing Yards,0,3,499,263,2018,0,13
Passing Yards,0,4,307,253,2017,0,29
Passing Yards,0,5,499,252,2018,0,8
Passing Yards,0,6,307,249,2017,0,9
Passing Yards,0,7,499,248,2018,0,5
Passing Yards,0,8,499,246,2018,0,27
Passing Yards,0,9,307,244,2017,0,7
Passing Yards,0,10,499,240,2018,0,25
Passing Yards,0,11,307,239,2018,0,23
Passing Yards,0,12,307,235,2017,0,12
Passing Yards,0,13,499,223,2018,0,21
Passing Yards,0,14,499,222,2018,0,24
Passing Yards,0,15,307,220,2017,0,11
Passing Yards,0,16,307,202,2017,0,31
Passing Yards,0,17,307,201,2017,0,18
Passing Yards,0,18,499,200,2018,0,26
Passing Yards,0,19,307,199,2017,0,25
Passing Yards,0,20,307,195,2018,0,24
Passing Yards,0,21,307,183,2018,0,15
Passing Yards,0,22,307,181,2017,0,25
Passing Yards,0,23,12,180,2017,0,24
Passing Yards,0,24,307,172,2017,0,26
Passing Yards,0,25,307,162,2017,0,26
Passing Yards,0,26,307,160,2017,0,27
Passing Yards,0,27,307,118,2017,0,24
Passing Yards,0,28,1835,108,2018,0,26
Passing Yards,0,29,307,106,2017,0,28
Passing Yards,0,30,307,101,2017,0,24
Passing Yards,0,31,307,79,2018,0,26
Passing Yards,0,32,307,65,2018,0,10
Passing Yards,0,33,499,42,2018,0,20
Passing Yards,0,34,307,38,2018,0,20
Passing Yards,0,35,499,32,2018,0,10
Yards per Pass Attempt,0,0,499,1235,2018,0,9
Yards per Pass Attempt,0,1,307,938,2017,0,7
Yards per Pass Attempt,0,2,499,855,2018,0,5
Yards per Pass Attempt,0,3,307,854,2018,0,23
Yards per Pass Attempt,0,4,307,843,2017,0,29
Yards per Pass Attempt,0,5,307,823,2017,0,21
Yards per Pass Attempt,0,6,307,800,2018,0,25
Yards per Pass Attempt,0,7,307,773,2017,0,18
Yards per Pass Attempt,0,8,307,722,2018,0,24
Yards per Pass Attempt,0,9,307,712,2017,0,12
Yards per Pass Attempt,0,10,307,673,2017,0,9
Yards per Pass Attempt,0,11,307,667,2017,0,11
Yards per Pass Attempt,0,12,499,656,2018,0,21
Yards per Pass Attempt,0,13,307,654,2018,0,15
Yards per Pass Attempt,0,14,307,615,2017,0,27
Yards per Pass Attempt,0,15,307,612,2017,0,31
Yards per Pass Attempt,0,16,499,598,2018,0,13
Yards per Pass Attempt,0,17,499,572,2018,0,27
Yards per Pass Attempt,0,18,499,571,2018,0,25
Yards per Pass Attempt,0,19,499,556,2018,0,26
Yards per Pass Attempt,0,20,499,541,2018,0,24
Yards per Pass Attempt,0,21,307,538,2017,0,26
Yards per Pass Attempt,0,22,307,503,2017,0,25
Yards per Pass Attempt,0,23,499,494,2018,0,8
Yards per Pass Attempt,0,24,307,474,2017,0,25
Yards per Pass Attempt,0,25,307,463,2017,0,26
Yards per Pass Attempt,0,26,307,408,2017,0,28
Yards per Pass Attempt,0,27,307,395,2018,0,26
Yards per Pass Attempt,0,28,307,369,2017,0,24
Yards per Pass Attempt,0,29,499,152,2018,0,10
Passing Touchdowns,0,0,499,3,2018,0,5
Passing Touchdowns,0,1,499,3,2018,0,9
Passing Touchdowns,0,2,307,2,2017,0,12
Passing Touchdowns,0,3,307,2,2017,0,26
Passing Touchdowns,0,4,499,2,2018,0,26
Passing Touchdowns,0,5,499,2,2018,0,25
Passing Touchdowns,0,6,499,2,2018,0,13
Passing Touchdowns,0,7,307,2,2018,0,23
Passing Touchdowns,0,8,307,2,2018,0,25
Passing Touchdowns,0,9,307,1,2017,0,11
Passing Touchdowns,0,10,307,1,2017,0,27
Passing Touchdowns,0,11,12,1,2017,0,24
Passing Touchdowns,0,12,307,1,2017,0,31
Passing Touchdowns,0,13,499,1,2018,0,8
Passing Touchdowns,0,14,307,1,2018,0,10
Passing Touchdowns,0,15,1835,1,2018,0,26
Times Sacked,0,0,307,7,2017,0,29
Times Sacked,0,1,307,6,2017,0,18
Times Sacked,0,2,307,6,2017,0,24
Times Sacked,0,3,307,6,2018,0,24
Times Sacked,0,4,307,5,2017,0,26
Times Sacked,0,5,499,5,2018,0,8
Times Sacked,0,6,307,5,2018,0,15
Times Sacked,0,7,307,4,2017,0,9
Times Sacked,0,8,307,4,2017,0,26
Times Sacked,0,9,307,4,2017,0,25
Times Sacked,0,10,307,4,2017,0,31
Times Sacked,0,11,499,4,2018,0,5
Times Sacked,0,12,307,3,2017,0,12
Times Sacked,0,13,307,3,2017,0,28
Times Sacked,0,14,307,2,2017,0,25
Times Sacked,0,15,307,2,2017,0,27
Times Sacked,0,16,12,2,2017,0,24
Times Sacked,0,17,307,2,2018,0,24
Times Sacked,0,18,499,2,2018,0,24
Times Sacked,0,19,307,2,2018,0,10
Times Sacked,0,20,499,2,2018,0,10
Times Sacked,0,21,499,2,2018,0,26
Times Sacked,0,22,499,2,2018,0,9
Times Sacked,0,23,307,2,2018,0,26
Times Sacked,0,24,307,2,2018,0,23
Times Sacked,0,25,307,2,2018,0,25
Times Sacked,0,26,307,1,2017,0,21
Times Sacked,0,27,307,1,2017,0,24
Times Sacked,0,28,499,1,2018,0,27
Times Sacked,0,29,499,1,2018,0,13
Times Sacked,0,30,499,1,2018,0,21
Times Sacked,0,31,307,1,2018,0,20
Times Sacked,0,32,1835,1,2018,0,26
Rushing Attempts,0,0,597,16,2018,0,25
Rushing Attempts,0,1,560,15,2017,0,7
Rushing Attempts,0,2,86,14,2017,0,11
Rushing Attempts,0,3,3289,14,2018,0,21
Rushing Attempts,0,4,597,14,2018,0,20
Rushing Attempts,0,5,3289,14,2018,0,23
Rushing Attempts,0,6,3289,14,2018,0,25
Rushing Attempts,0,7,597,13,2018,0,5
Rushing Attempts,0,8,597,13,2018,0,23
Rushing Attempts,0,9,307,12,2017,0,25
Rushing Attempts,0,10,86,12,2017,0,31
Rushing Attempts,0,11,86,12,2017,0,24
Rushing Attempts,0,12,597,12,2018,0,21
Rushing Attempts,0,13,86,11,2017,0,26
Rushing Attempts,0,14,560,10,2017,0,11
Rushing Attempts,0,15,86,10,2017,0,25
Rushing Attempts,0,16,86,10,2017,0,27
Rushing Attempts,0,17,560,10,2017,0,27
Rushing Attempts,0,18,86,10,2017,0,25
Rushing Attempts,0,19,86,10,2017,0,24
Rushing Attempts,0,20,86,10,2017,0,12
Rushing Attempts,0,21,1016,10,2017,0,18
Rushing Attempts,0,22,597,10,2018,0,9
Rushing Attempts,0,23,3289,10,2018,0,25
Rushing Attempts,0,24,3289,10,2018,0,20
Rushing Attempts,0,25,86,9,2017,0,9
Rushing Attempts,0,26,560,9,2017,0,25
Rushing Attempts,0,27,307,9,2017,0,21
Rushing Attempts,0,28,86,9,2017,0,29
Rushing Attempts,0,29,1016,9,2017,0,24
Rushing Attempts,0,30,3289,9,2018,0,5
Rushing Attempts,0,31,597,9,2018,0,26
Rushing Attempts,0,32,597,9,2018,0,26
Rushing Attempts,0,33,86,8,2017,0,26
Rushing Attempts,0,34,560,8,2017,0,31
Rushing Attempts,0,35,307,8,2017,0,12
Rushing Attempts,0,36,560,8,2017,0,12
Rushing Attempts,0,37,3289,8,2018,0,24
Rushing Attempts,0,38,3289,8,2018,0,27
Rushing Attempts,0,39,3289,8,2018,0,13
Rushing Attempts,0,40,1084,8,2018,0,26
Rushing Attempts,0,41,307,7,2017,0,9
Rushing Attempts,0,42,307,7,2017,0,31
Rushing Attempts,0,43,307,7,2017,0,26
Rushing Attempts,0,44,560,7,2017,0,26
Rushing Attempts,0,45,86,7,2017,0,28
Rushing Attempts,0,46,597,7,2018,0,24
Rushing Attempts,0,47,597,7,2018,0,27
Rushing Attempts,0,48,597,7,2018,0,15
Rushing Attempts,0,49,3289,7,2018,0,26
Rushing Attempts,0,50,3289,7,2018,0,9
Rushing Attempts,0,51,499,7,2018,0,21
Rushing Attempts,0,52,3289,7,2018,0,26
Rushing Attempts,0,53,307,7,2018,0,23
Rushing Attempts,0,54,560,6,2017,0,9
Rushing Attempts,0,55,1016,6,2017,0,9
Rushing Attempts,0,56,307,6,2017,0,11
Rushing Attempts,0,57,86,6,2017,0,21
Rushing Attempts,0,58,307,6,2017,0,27
Rushing Attempts,0,59,560,6,2017,0,25
Rushing Attempts,0,60,1016,6,2017,0,24
Rushing Attempts,0,61,1016,6,2017,0,29
Rushing Attempts,0,62,86,6,2017,0,18
Rushing Attempts,0,63,307,6,2017,0,18
Rushing Attempts,0,64,1084,6,2018,0,15
Rushing Attempts,0,65,3289,6,2018,0,15
Rushing Attempts,0,66,597,6,2018,0,25
Rushing Attempts,0,67,597,6,2018,0,13
Rushing Attempts,0,68,1016,5,2017,0,11
Rushing Attempts,0,69,86,5,2017,0,7
Rushing Attempts,0,70,307,5,2017,0,7
Rushing Attempts,0,71,307,5,2017,0,26
Rushing Attempts,0,72,1016,5,2017,0,25
Rushing Attempts,0,73,1016,5,2017,0,31
Rushing Attempts,0,74,307,5,2017,0,29
Rushing Attempts,0,75,560,5,2017,0,29
Rushing Attempts,0,76,307,5,2017,0,24
Rushing Attempts,0,77,499,5,2018,0,27
Rushing Attempts,0,78,1084,5,2018,0,27
Rushing Attempts,0,79,1084,5,2018,0,5
Rushing Attempts,0,80,597,5,2018,0,24
Rushing Attempts,0,81,3289,5,2018,0,24
Rushing Attempts,0,82,499,5,2018,0,9
Rushing Attempts,0,83,499,5,2018,0,25
Rushing Attempts,0,84,1084,5,2018,0,25
Rushing Attempts,0,85,1084,5,2018,0,13
Rushing Attempts,0,86,307,5,2018,0,26
Rushing Attempts,0,87,1084,5,2018,0,25
Rushing Attempts,0,88,1016,4,2017,0,7
Rushing Attempts,0,89,560,4,2017,0,21
Rushing Attempts,0,90,1016,4,2017,0,21
Rushing Attempts,0,91,1016,4,2017,0,27
Rushing Attempts,0,92,1016,4,2017,0,26
Rushing Attempts,0,93,307,4,2017,0,24
Rushing Attempts,0,94,1016,4,2017,0,28
Rushing Attempts,0,95,499,4,2018,0,24
Rushing Attempts,0,96,1084,4,2018,0,24
Rushing Attempts,0,97,597,4,2018,0,8
Rushing Attempts,0,98,3289,4,2018,0,8
Rushing Attempts,0,99,307,4,2018,0,10
Rushing Yards,0,0,86,110,2017,0,11
Rushing Yards,0,1,597,108,2018,0,20
Rushing Yards,0,2,3289,92,2018,0,25
Rushing Yards,0,3,560,89,2017,0,7
Rushing Yards,0,4,86,88,2017,0,26
Rushing Yards,0,5,86,87,2017,0,25
Rushing Yards,0,6,86,86,2017,0,24
Rushing Yards,0,7,307,83,2017,0,25
Rushing Yards,0,8,597,83,2018,0,5
Rushing Yards,0,9,1016,81,2017,0,24
Rushing Yards,0,10,3289,76,2018,0,21
Rushing Yards,0,11,3289,74,2018,0,25
Rushing Yards,0,12,307,68,2017,0,21
Rushing Yards,0,13,597,66,2018,0,23
Rushing Yards,0,14,597,62,2018,0,25
Rushing Yards,0,15,3289,61,2018,0,13
Rushing Yards,0,16,307,57,2018,0,23
Rushing Yards,0,17,560,55,2017,0,25
Rushing Yards,0,18,597,55,2018,0,25
Rushing Yards,0,19,86,54,2017,0,27
Rushing Yards,0,20,560,52,2017,0,27
Rushing Yards,0,21,86,49,2017,0,9
Rushing Yards,0,22,1016,49,2017,0,31
Rushing Yards,0,23,307,47,2017,0,26
Rushing Yards,0,24,597,47,2018,0,24
Rushing Yards,0,25,86,45,2017,0,31
Rushing Yards,0,26,560,44,2017,0,31
Rushing Yards,0,27,597,43,2018,0,26
Rushing Yards,0,28,307,42,2018,0,26
Rushing Yards,0,29,3289,42,2018,0,23
Rushing Yards,0,30,1084,41,2018,0,26
Rushing Yards,0,31,3289,41,2018,0,26
Rushing Yards,0,32,307,39,2017,0,9
Rushing Yards,0,33,1016,39,2017,0,18
Rushing Yards,0,34,307,38,2017,0,31
Rushing Yards,0,35,560,37,2017,0,29
Rushing Yards,0,36,597,37,2018,0,26
Rushing Yards,0,37,3289,37,2018,0,26
Rushing Yards,0,38,3289,36,2018,0,20
Rushing Yards,0,39,597,35,2018,0,9
Rushing Yards,0,40,307,34,2017,0,27
Rushing Yards,0,41,307,34,2017,0,29
Rushing Yards,0,42,1016,33,2017,0,7
Rushing Yards,0,43,307,33,2017,0,12
Rushing Yards,0,44,307,32,2017,0,11
Rushing Yards,0,45,307,31,2017,0,24
Rushing Yards,0,46,86,30,2017,0,18
Rushing Yards,0,47,499,30,2018,0,27
Rushing Yards,0,48,307,29,2017,0,18
Rushing Yards,0,49,307,29,2018,0,24
Rushing Yards,0,50,307,28,2017,0,24
Rushing Yards,0,51,560,27,2017,0,9
Rushing Yards,0,52,86,27,2017,0,29
Rushing Yards,0,53,3289,27,2018,0,15
Rushing Yards,0,54,3289,26,2018,0,24
Rushing Yards,0,55,1016,25,2017,0,24
Rushing Yards,0,56,560,25,2017,0,12
Rushing Yards,0,57,307,25,2018,0,10
Rushing Yards,0,58,3289,25,2018,0,10
Rushing Yards,0,59,499,25,2018,0,25
Rushing Yards,0,60,499,25,2018,0,21
Rushing Yards,0,61,307,24,2017,0,26
Rushing Yards,0,62,597,24,2018,0,27
Rushing Yards,0,63,86,23,2017,0,12
Rushing Yards,0,64,499,23,2018,0,24
Rushing Yards,0,65,307,22,2017,0,7
Rushing Yards,0,66,597,22,2018,0,13
Rushing Yards,0,67,1084,22,2018,0,13
Rushing Yards,0,68,3289,21,2018,0,27
Rushing Yards,0,69,499,21,2018,0,9
Rushing Yards,0,70,1084,21,2018,0,25
Rushing Yards,0,71,86,20,2017,0,24
Rushing Yards,0,72,1812,20,2018,0,26
Rushing Yards,0,73,560,19,2017,0,11
Rushing Yards,0,74,1016,19,2017,0,11
Rushing Yards,0,75,1016,19,2017,0,27
Rushing Yards,0,76,560,19,2017,0,25
Rushing Yards,0,77,560,19,2017,0,28
Rushing Yards,0,78,597,19,2018,0,15
Rushing Yards,0,79,3289,19,2018,0,9
Rushing Yards,0,80,499,18,2018,0,8
Rushing Yards,0,81,1016,17,2017,0,9
Rushing Yards,0,82,86,17,2017,0,26
Rushing Yards,0,83,560,17,2017,0,26
Rushing Yards,0,84,1084,17,2018,0,9
Rushing Yards,0,85,2590,16,2017,0,7
Rushing Yards,0,86,86,16,2017,0,25
Rushing Yards,0,87,86,16,2017,0,28
Rushing Yards,0,88,1084,16,2018,0,5
Rushing Yards,0,89,560,15,2017,0,21
Rushing Yards,0,90,560,15,2017,0,26
Rushing Yards,0,91,307,15,2018,0,24
Rushing Yards,0,92,1084,15,2018,0,25
Rushing Yards,0,93,597,15,2018,0,21
Rushing Yards,0,94,307,15,2018,0,25
Rushing Yards,0,95,307,14,2017,0,28
Rushing Yards,0,96,1812,14,2018,0,5
Rushing Yards,0,97,307,14,2018,0,20
Rushing Yards,0,98,1084,13,2018,0,26
Rushing Yards,0,99,1016,12,2017,0,25
Yards per Carry,0,0,560,593,2017,0,7
Yards per Carry,0,1,597,344,2018,0,25
Rushing Touchdowns,0,0,560,3,2017,0,7
Rushing Touchdowns,0,1,307,2,2017,0,21
Rushing Touchdowns,0,2,307,1,2017,0,9
Rushing Touchdowns,0,3,560,1,2017,0,9
Rushing Touchdowns,0,4,1016,1,2017,0,9
Rushing Touchdowns,0,5,307,1,2017,0,11
Rushing Touchdowns,0,6,1812,1,2017,0,11
Rushing Touchdowns,0,7,1016,1,2017,0,7
Rushing Touchdowns,0,8,560,1,2017,0,25
Rushing Touchdowns,0,9,1016,1,2017,0,21
Rushing Touchdowns,0,10,560,1,2017,0,27
Rushing Touchdowns,0,11,1016,1,2017,0,27
Rushing Touchdowns,0,12,560,1,2017,0,31
Rushing Touchdowns,0,13,86,1,2017,0,12
Rushing Touchdowns,0,14,307,1,2018,0,15
Rushing Touchdowns,0,15,597,1,2018,0,24
Rushing Touchdowns,0,16,597,1,2018,0,26
Rushing Touchdowns,0,17,1084,1,2018,0,25
Rushing Touchdowns,0,18,3289,1,2018,0,25
Rushing Touchdowns,0,19,1084,1,2018,0,21
Rushing Touchdowns,0,20,3289,1,2018,0,21
Rushing Touchdowns,0,21,597,1,2018,0,20
Rushing Touchdowns,0,22,1084,1,2018,0,26
Rushing Touchdowns,0,23,307,1,2018,0,25
Rushing Touchdowns,0,24,3289,1,2018,0,25
Receptions,0,0,17,11,2017,0,21
Receptions,0,1,223,8,2018,0,26
Receptions,0,2,223,7,2017,0,21
Receptions,0,3,1812,7,2017,0,18
Receptions,0,4,2590,6,2017,0,25
Receptions,0,5,86,6,2017,0,21
Receptions,0,6,223,6,2017,0,25
Receptions,0,7,86,6,2017,0,24
Receptions,0,8,17,6,2017,0,31
Receptions,0,9,223,6,2017,0,28
Receptions,0,10,223,6,2018,0,5
Receptions,0,11,597,6,2018,0,24
Receptions,0,12,1812,6,2018,0,9
Receptions,0,13,223,6,2018,0,13
Receptions,0,14,1812,6,2018,0,13
Receptions,0,15,223,5,2017,0,9
Receptions,0,16,2590,5,2017,0,9
Receptions,0,17,1812,5,2017,0,11
Receptions,0,18,223,5,2017,0,26
Receptions,0,19,86,5,2017,0,25
Receptions,0,20,86,5,2017,0,29
Receptions,0,21,223,5,2017,0,29
Receptions,0,22,597,5,2018,0,8
Receptions,0,23,1084,5,2018,0,8
Receptions,0,24,654,5,2018,0,27
Receptions,0,25,1812,5,2018,0,5
Receptions,0,26,1812,5,2018,0,15
Receptions,0,27,1812,5,2018,0,24
Receptions,0,28,223,5,2018,0,25
Receptions,0,29,3435,5,2018,0,13
Receptions,0,30,86,4,2017,0,7
Receptions,0,31,223,4,2017,0,7
Receptions,0,32,2590,4,2017,0,7
Receptions,0,33,223,4,2017,0,25
Receptions,0,34,223,4,2017,0,27
Receptions,0,35,17,4,2017,0,26
Receptions,0,36,560,4,2017,0,25
Receptions,0,37,86,4,2017,0,31
Receptions,0,38,2590,4,2017,0,31
Receptions,0,39,223,4,2017,0,12
Receptions,0,40,1812,4,2017,0,12
Receptions,0,41,223,4,2017,0,26
Receptions,0,42,223,4,2018,0,24
Receptions,0,43,223,4,2018,0,8
Receptions,0,44,1812,4,2018,0,8
Receptions,0,45,3435,4,2018,0,8
Receptions,0,46,654,4,2018,0,10
Receptions,0,47,597,4,2018,0,5
Receptions,0,48,597,4,2018,0,15
Receptions,0,49,2561,4,2018,0,26
Receptions,0,50,597,4,2018,0,9
Receptions,0,51,1812,4,2018,0,25
Receptions,0,52,1084,4,2018,0,13
Receptions,0,53,654,4,2018,0,21
Receptions,0,54,778,4,2018,0,21
Receptions,0,55,1084,4,2018,0,26
Receptions,0,56,3435,4,2018,0,23
Receptions,0,57,223,4,2018,0,25
Receptions,0,58,3435,4,2018,0,25
Receptions,0,59,836,3,2017,0,9
Receptions,0,60,17,3,2017,0,11
Receptions,0,61,17,3,2017,0,7
Receptions,0,62,836,3,2017,0,7
Receptions,0,63,86,3,2017,0,27
Receptions,0,64,836,3,2017,0,27
Receptions,0,65,17,3,2017,0,25
Receptions,0,66,223,3,2017,0,24
Receptions,0,67,2590,3,2017,0,24
Receptions,0,68,2590,3,2017,0,12
Receptions,0,69,836,3,2017,0,26
Receptions,0,70,2463,3,2017,0,26
Receptions,0,71,86,3,2017,0,28
Receptions,0,72,560,3,2017,0,29
Receptions,0,73,223,3,2017,0,24
Receptions,0,74,541,3,2017,0,24
Receptions,0,75,778,3,2018,0,24
Receptions,0,76,1812,3,2018,0,24
Receptions,0,77,3435,3,2018,0,24
Receptions,0,78,597,3,2018,0,27
Receptions,0,79,1084,3,2018,0,27
Receptions,0,80,1812,3,2018,0,27
Receptions,0,81,223,3,2018,0,15
Receptions,0,82,223,3,2018,0,24
Receptions,0,83,778,3,2018,0,26
Receptions,0,84,1812,3,2018,0,26
Receptions,0,85,1084,3,2018,0,25
Receptions,0,86,3435,3,2018,0,25
Receptions,0,87,3365,3,2018,0,13
Receptions,0,88,1812,3,2018,0,21
Receptions,0,89,3435,3,2018,0,21
Receptions,0,90,778,3,2018,0,20
Receptions,0,91,597,3,2018,0,26
Receptions,0,92,1812,3,2018,0,26
Receptions,0,93,3435,3,2018,0,26
Receptions,0,94,778,3,2018,0,23
Receptions,0,95,2561,3,2018,0,23
Receptions,0,96,17,2,2017,0,9
Receptions,0,97,1057,2,2017,0,9
Receptions,0,98,86,2,2017,0,11
Receptions,0,99,223,2,2017,0,11
Receiving Yards,0,0,17,153,2017,0,21
Receiving Yards,0,1,2561,121,2018,0,23
Receiving Yards,0,2,223,120,2018,0,5
Receiving Yards,0,3,2590,92,2017,0,25
Receiving Yards,0,4,1812,92,2017,0,24
Receiving Yards,0,5,3435,91,2018,0,25
Receiving Yards,0,6,223,79,2017,0,21
Receiving Yards,0,7,86,78,2017,0,24
Receiving Yards,0,8,2590,75,2017,0,9
Receiving Yards,0,9,86,75,2017,0,11
Receiving Yards,0,10,86,75,2017,0,21
Receiving Yards,0,11,17,75,2017,0,31
Receiving Yards,0,12,223,73,2018,0,25
Receiving Yards,0,13,1812,72,2018,0,9
Receiving Yards,0,14,1812,70,2018,0,24
Receiving Yards,0,15,223,69,2018,0,26
Receiving Yards,0,16,17,68,2017,0,7
Receiving Yards,0,17,223,65,2017,0,26
Receiving Yards,0,18,3435,65,2018,0,13
Receiving Yards,0,19,223,64,2017,0,7
Receiving Yards,0,20,223,64,2017,0,25
Receiving Yards,0,21,654,62,2018,0,21
Receiving Yards,0,22,654,61,2018,0,27
Receiving Yards,0,23,3435,61,2018,0,25
Receiving Yards,0,24,223,60,2017,0,26
Receiving Yards,0,25,86,58,2017,0,29
