Staff_ID,Year,Role,Wins,Losses,Ties,Playoffs,Team
116,2018,Offensive Coordinator,5,11,0,None,23
117,2017,Defensive Coordinator,5,11,0,None,23
117,2018,Defensive Coordinator,5,11,0,None,23
118,2017,Assistant Coach,5,11,0,None,23
118,2018,Assistant Coach,5,11,0,None,23
119,2017,Strength Coordinator,5,11,0,None,23
119,2018,Strength Coordinator,5,11,0,None,23
120,2017,Head Coach,12,6,0,Division,24
120,2018,Head Coach,11,6,0,Wild Card,24
121,2017,Offensive Coordinator,12,6,0,Division,24
121,2018,Offensive Coordinator,11,6,0,Wild Card,24
122,2017,Defensive Coordinator,12,6,0,Division,24
122,2018,Defensive Coordinator,11,6,0,Wild Card,24
123,2017,Assistant Coach,12,6,0,Division,24
123,2018,Assistant Coach,11,6,0,Wild Card,24
124,2017,Strength Coordinator,12,6,0,Division,24
124,2018,Strength Coordinator,11,6,0,Wild Card,24
125,2017,Head Coach,5,11,0,None,25
125,2018,Head Coach,5,11,0,None,25
126,2017,Offensive Coordinator,5,11,0,None,25
126,2018,Offensive Coordinator,5,11,0,None,25
127,2017,Defensive Coordinator,5,11,0,None,25
128,2017,Assistant Coach,5,11,0,None,25
128,2018,Assistant Coach,5,11,0,None,25
129,2017,Strength Coordinator,5,11,0,None,25
130,2017,Head Coach,13,4,1,Conference,26
130,2018,Head Coach,14,5,0,Won Conference,26
131,2017,Offensive Coordinator,13,4,1,Conference,26
131,2018,Offensive Coordinator,14,5,0,Won Conference,26
132,2017,Defensive Coordinator,13,4,1,Conference,26
132,2018,Defensive Coordinator,14,5,0,Won Conference,26
133,2017,Assistant Coach,13,4,1,Conference,26
133,2018,Assistant Coach,14,5,0,Won Conference,26
134,2017,Strength Coordinator,13,4,1,Conference,26
135,2017,Head Coach,7,9,0,None,27
135,2018,Head Coach,9,7,0,None,27
136,2017,Offensive Coordinator,7,9,0,None,27
136,2018,Offensive Coordinator,9,7,0,None,27
137,2017,Defensive Coordinator,7,9,0,None,27
137,2018,Defensive Coordinator,9,7,0,None,27
138,2017,Assistant Coach,7,9,0,None,27
138,2018,Assistant Coach,9,7,0,None,27
139,2017,Strength Coordinator,7,9,0,None,27
139,2018,Strength Coordinator,9,7,0,None,27
140,2017,Head Coach,8,8,0,None,28
140,2018,Head Coach,15,3,0,Conference,28
141,2017,Offensive Coordinator,8,8,0,None,28
141,2018,Offensive Coordinator,15,3,0,Conference,28
142,2017,Defensive Coordinator,8,8,0,None,28
142,2018,Defensive Coordinator,15,3,0,Conference,28
143,2017,Assistant Coach,8,8,0,None,28
143,2018,Assistant Coach,15,3,0,Conference,28
144,2017,Strength Coordinator,8,8,0,None,28
145,2017,Head Coach,7,9,0,None,29
146,2017,Offensive Coordinator,7,9,0,None,29
146,2018,Offensive Coordinator,10,8,0,Division,29
147,2017,Defensive Coordinator,7,9,0,None,29
147,2018,Defensive Coordinator,10,8,0,Division,29
148,2017,Assistant Coach,7,9,0,None,29
148,2018,Assistant Coach,10,8,0,Division,29
149,2017,Strength Coordinator,7,9,0,None,29
150,2017,Head Coach,4,12,0,None,30
150,2018,Head Coach,7,9,0,None,30
151,2017,Offensive Coordinator,4,12,0,None,30
151,2018,Offensive Coordinator,7,9,0,None,30
152,2017,Defensive Coordinator,4,12,0,None,30
152,2018,Defensive Coordinator,7,9,0,None,30
153,2017,Assistant Coach,4,12,0,None,30
153,2018,Assistant Coach,7,9,0,None,30
154,2017,Strength Coordinator,4,12,0,None,30
154,2018,Strength Coordinator,7,9,0,None,30
155,2017,Head Coach,9,7,1,Wild Card,31
155,2018,Head Coach,6,10,0,None,31
156,2017,Offensive Coordinator,9,7,1,Wild Card,31
156,2018,Offensive Coordinator,6,10,0,None,31
157,2017,Defensive Coordinator,9,7,1,Wild Card,31
158,2017,Assistant Coach,9,7,1,Wild Card,31
158,2018,Assistant Coach,6,10,0,None,31
159,2017,Strength Coordinator,9,7,1,Wild Card,31
159,2018,Strength Coordinator,6,10,0,None,31
160,2018,Strength Coordinator,8,8,0,None,9
164,2018,Defensive Coordinator,6,10,0,None,31
167,2018,Assistant Coach,10,7,0,Wild Card,10
176,2018,Assistant Coach,7,9,0,None,18
180,2018,Head Coach,5,11,0,None,20
181,2018,Assistant Coach,9,7,0,None,0
185,2018,Head Coach,12,7,0,Conference,15
186,2018,Defensive Coordinator,9,7,0,None,2
187,2018,Strength Coordinator,5,11,0,None,25
188,2018,Defensive Coordinator,10,7,0,Wild Card,10
202,2018,Strength Coordinator,10,7,0,Wild Card,10
207,2018,Strength Coordinator,15,3,0,Conference,28
212,2018,Assistant Coach,7,8,1,None,4
219,2018,Strength Coordinator,12,7,0,Conference,15
224,2018,Offensive Coordinator,10,7,0,Wild Card,10
225,2018,Strength Coordinator,9,8,0,Wild Card,8
228,2018,Head Coach,10,7,0,Wild Card,10
237,2018,Strength Coordinator,7,9,0,None,7
242,2018,Assistant Coach,11,6,0,Division,17
245,2018,Strength Coordinator,5,11,0,None,20
246,2018,Strength Coordinator,14,5,0,Won Conference,26
247,2018,Defensive Coordinator,15,4,0,Champion,13
248,2018,Head Coach,10,8,0,Division,29
254,2018,Assistant Coach,7,9,0,None,3
256,2018,Offensive Coordinator,4,12,0,None,19
260,2018,Head Coach,13,5,0,Division,22
269,2018,Offensive Coordinator,8,8,0,None,9
272,2018,Offensive Coordinator,7,9,0,None,3
273,2018,Defensive Coordinator,5,11,0,None,25
280,2018,Head Coach,8,8,0,None,9
281,2018,Offensive Coordinator,3,13,0,None,6
288,2018,Strength Coordinator,11,6,0,Division,17
289,2018,Strength Coordinator,6,9,1,None,21
