Year,Team_ID,Unit,Games,Rushes,Rushing_Yards,Pass_Attempts,Completions,Passing_Yards,Fumbles_Lost,Intercepted,Third_Down_Conversions,Third_Down_Attempts,Touchdowns,Points_Scored,Penalties,Penalty_Yards,Red_Zone_Visits,Red_Zone_Touchdowns,Red_Zone_Field_Goals,Sacks,Runs_Left,Runs_Left_Yardage,Runs_Center,Runs_Center_Yardage,Runs_Right,Runs_Right_Yardage,Short_Passes,Short_Pass_Completions,Short_Pass_Yardage,Medium_Passes,Medium_Pass_Completions,Medium_Pass_Yardage,Long_Passes,Long_Pass_Completions,Long_Pass_Yardage,Fourth_Down_Attempts,Fourth_Down_Conversions,Third_Down_YtG_Total,Sack_Yardage,Fumbles,Red_Zone_Rushes,Red_Zone_Rushing_Yardage,Red_Zone_Passes,Red_Zone_Pass_Completions,Red_Zone_Passing_Yardage,First_Downs_Rushing,First_Downs_Passing,First_Downs_Penalty,Punts,Punting_Yardage,Punting_Net_Yardage,Punt_Returns,Punt_Return_Yardage,Kickoff_Returns,Kickoff_Return_Yardage,Field_Goals,Field_Goals_Attempted,Points_After_Touchdown,PATs_Attempted,Two-Point_Conversion_Attempts,Two-Point_Conversions,Passes_Defensed,Key_Run_Blocks,Key_Run_Block_Opportunities,Hurries,Blocked_Passes,Run_Plays,Pass_Plays,Touchdowns_Passing,Touchdowns_Rushing,Passes_Dropped
2018,5,Defense,16,482,2111,502,335,3626,11,10,82,217,41,420,120,893,52,33,16,42,115,458,254,1047,103,620,326,239,1970,130,79,1204,46,17,452,1,5,1800,236,18,65,194,65,46,304,120,167,16,86,3758,3170,39,382,37,946,36,38,42,45,0,0,92,165,434,63,22,482,544,23,17,16
2018,6,Offense,16,438,2071,559,358,3579,10,18,76,218,32,306,98,700,41,21,16,51,119,510,244,1219,73,344,360,263,2132,146,78,940,52,17,507,9,20,1712,335,18,49,198,53,30,203,113,165,25,80,3371,2847,30,148,43,952,28,39,30,32,0,0,59,146,388,57,14,438,610,18,13,32
2018,6,Defense,16,423,1645,561,364,3873,7,11,78,214,34,397,95,681,55,22,28,16,91,327,239,908,81,425,358,248,2025,152,90,1160,46,26,688,4,7,1606,76,17,61,132,84,45,270,86,192,16,78,3524,3116,40,442,27,750,42,51,37,38,0,0,65,119,373,59,12,423,577,22,8,27
2018,7,Offense,16,400,1663,581,374,4436,9,15,74,208,38,367,98,782,46,28,13,39,56,276,280,1070,62,319,374,270,2497,146,79,1179,61,25,760,4,9,1691,225,19,47,131,63,42,312,87,212,21,79,3328,2872,39,307,41,1125,23,35,40,42,1,0,60,138,375,67,13,400,620,28,10,18
2018,7,Defense,16,415,1694,580,385,4194,5,17,74,207,38,364,94,708,49,30,13,32,57,281,236,907,112,517,400,285,2548,123,77,1016,56,23,630,4,6,1706,211,11,47,141,68,41,288,105,202,15,89,4003,3496,26,251,15,326,26,34,38,40,1,1,65,127,366,62,14,415,612,23,14,22
2018,8,Offense,16,421,1715,566,354,3833,16,16,76,215,32,312,81,579,39,19,13,37,53,227,228,955,128,552,374,260,2389,139,74,975,53,20,469,2,6,1763,203,28,57,206,43,25,183,93,184,24,97,4325,3726,42,268,43,1052,23,31,33,35,0,0,58,113,352,67,11,421,603,20,10,24
2018,8,Defense,16,409,1390,583,386,4101,7,9,77,230,34,336,103,745,38,22,14,36,82,215,231,921,88,263,389,279,2303,147,91,1319,47,16,479,1,8,1905,188,12,38,75,55,42,321,73,193,15,105,4770,4222,38,339,22,545,29,35,31,34,2,0,61,97,366,59,15,409,619,30,4,28
2018,9,Offense,16,444,2012,538,370,4043,4,13,89,201,40,371,96,689,56,35,19,31,95,457,235,1199,107,367,376,282,2651,126,72,933,34,16,459,1,8,1502,178,14,75,245,68,47,319,114,197,26,65,2951,2310,23,208,35,817,31,35,36,38,2,1,54,161,406,50,17,444,569,24,16,24
2018,9,Defense,16,412,1754,564,384,4284,4,8,96,216,37,369,100,686,57,29,22,29,75,290,224,1015,99,466,363,262,2413,157,104,1388,41,18,483,3,8,1720,176,12,66,210,73,45,327,95,206,16,66,2941,2533,30,405,19,429,35,39,36,37,1,0,53,145,369,51,10,412,593,26,10,29
2018,10,Offense,16,463,2205,534,342,3787,6,17,92,213,43,456,77,524,51,27,18,38,92,450,248,1193,116,570,344,248,2180,132,70,994,56,24,613,5,9,1660,198,13,62,219,79,45,293,125,189,10,72,3594,2949,33,446,37,662,33,35,51,51,0,0,67,171,416,59,9,463,572,27,12,24
2018,10,Defense,16,391,1805,556,353,4061,9,17,66,198,39,353,100,713,46,27,17,38,54,225,229,1033,102,556,346,242,2173,147,88,1263,62,23,625,2,9,1672,252,18,53,151,62,44,283,88,188,24,80,3722,3145,28,265,45,946,27,34,36,38,1,1,55,125,343,69,9,391,594,29,10,27
2018,11,Offense,16,448,1880,581,349,3593,9,12,77,228,31,314,93,673,51,25,21,26,93,382,261,1050,86,459,389,247,1983,146,85,1132,46,17,478,2,8,1744,142,16,51,98,75,40,290,92,186,24,98,4125,3438,41,258,30,685,31,38,29,32,0,0,71,132,404,56,15,448,607,25,6,17
2018,11,Defense,16,420,1724,561,346,3602,10,13,77,221,33,316,106,832,45,22,16,35,79,326,228,1010,109,394,371,255,2074,144,77,1128,45,14,400,2,12,1705,212,18,62,180,57,32,183,96,167,17,97,4250,3712,38,342,50,1171,29,33,31,32,1,0,74,123,383,91,13,420,596,19,12,30
2018,12,Offense,16,411,1741,551,357,4187,12,15,69,210,33,334,86,618,47,24,18,55,62,263,214,1036,129,449,334,245,2180,150,82,1181,63,30,826,2,9,1736,345,24,53,156,63,37,194,95,184,14,95,4187,3640,45,212,36,661,25,30,35,36,1,1,52,129,362,70,12,411,606,14,19,22
2018,12,Defense,16,424,1357,555,359,4150,6,20,71,212,38,343,95,696,42,26,11,35,79,160,236,886,98,326,362,261,2458,140,76,1038,52,22,654,2,8,1768,230,13,45,141,63,37,277,77,199,26,93,4142,3650,47,347,35,829,19,29,38,40,1,1,50,101,368,63,11,424,590,28,9,23
2018,13,Offense,16,475,2411,506,339,4079,4,7,90,209,46,461,100,694,59,35,18,23,83,474,293,1573,87,380,350,250,2468,117,71,1073,37,18,538,1,2,1546,140,12,78,249,67,38,299,121,195,9,70,3310,2797,42,348,32,641,39,45,46,47,2,2,79,167,430,65,11,475,529,31,14,19
2018,13,Defense,16,375,1683,627,409,4153,11,12,86,213,37,346,101,671,48,26,16,22,102,418,190,806,83,459,417,300,2470,158,87,1070,52,22,613,3,13,1702,123,16,57,140,70,37,240,95,194,22,75,3332,2784,29,233,50,1324,25,34,35,38,1,1,53,114,341,54,17,375,649,23,13,28
2018,14,Offense,16,393,1540,548,368,3931,12,13,72,212,39,334,83,596,43,26,12,37,111,463,210,774,64,316,356,257,2163,136,84,1032,53,27,736,2,9,1708,233,25,44,133,53,32,292,78,170,32,99,4629,3748,42,307,40,877,19,24,35,38,2,1,52,117,356,60,14,393,585,28,9,22
2018,14,Defense,16,454,2073,551,372,3942,11,17,85,214,42,397,112,818,57,31,22,31,83,415,254,1208,107,462,383,274,2353,129,85,1278,39,13,311,1,3,1717,190,20,58,166,94,56,377,113,190,16,88,3949,3362,37,402,38,931,30,33,41,43,1,1,53,147,405,55,16,454,582,26,16,17
2018,15,Offense,16,407,1488,561,376,4120,6,9,94,236,30,335,117,896,38,14,20,37,44,144,262,989,92,366,373,276,2435,132,81,1137,53,19,548,3,6,1930,216,17,40,109,63,42,213,68,188,20,89,4001,3402,44,353,24,477,37,44,32,32,0,0,61,89,362,63,19,407,598,22,7,36
2018,15,Defense,16,416,1781,550,355,3741,8,15,84,226,25,263,101,701,38,20,14,57,54,253,245,1120,113,415,351,255,2037,144,81,1176,51,19,528,4,12,1871,352,28,47,153,51,26,168,93,181,27,87,3782,3109,36,319,18,372,27,34,26,26,0,0,46,125,366,64,10,416,607,14,11,15
2018,16,Offense,16,397,1638,584,380,4279,7,11,67,215,40,379,98,684,59,30,24,52,101,478,217,866,73,303,372,273,2552,140,85,1125,70,22,602,2,7,1777,298,15,66,199,85,48,351,91,200,19,92,4002,3359,40,378,32,771,34,42,35,39,1,1,49,125,370,58,18,397,636,26,13,33
2018,16,Defense,16,442,1901,553,352,3863,8,17,69,212,37,342,107,750,46,25,17,25,85,362,251,1125,101,421,345,245,2160,140,79,932,66,28,771,1,9,1616,140,15,50,158,57,33,252,98,175,21,95,4101,3503,38,377,42,883,27,35,35,35,2,2,62,133,389,73,12,442,578,23,12,32
2018,17,Offense,16,505,2001,459,327,3681,14,12,76,207,35,369,77,633,49,25,22,42,77,273,332,1408,86,334,280,225,1797,140,83,1293,38,19,591,2,9,1621,244,21,80,194,37,29,205,108,163,25,76,3595,3042,45,459,37,951,37,41,32,35,2,2,72,128,404,51,8,505,501,18,15,23
2018,17,Defense,16,408,1395,546,357,3979,8,14,72,216,32,296,103,719,41,21,15,33,75,376,232,819,95,210,349,252,2132,153,88,1187,43,17,660,4,15,1734,220,16,37,123,50,30,193,76,174,15,91,4153,3454,36,320,43,952,25,31,27,31,1,1,35,116,368,43,7,408,579,22,9,21
2018,18,Offense,16,380,1380,509,336,4101,9,14,72,206,40,348,98,674,45,22,15,48,45,290,229,689,99,410,350,245,2573,113,78,1122,44,13,406,2,7,1723,299,11,43,94,65,38,240,67,183,21,92,4290,3650,35,296,35,870,18,23,40,41,1,1,62,104,360,45,10,380,557,27,9,17
2018,18,Defense,16,469,2125,573,385,4195,7,13,89,222,40,373,104,788,54,29,19,33,72,370,282,1242,108,523,370,277,2406,147,88,1273,53,20,516,6,11,1654,207,23,70,213,75,48,297,110,206,27,82,3544,3014,45,420,39,905,30,38,37,41,0,0,51,142,412,52,13,469,606,26,14,34
2018,19,Offense,16,389,1329,584,368,3373,15,11,76,226,23,252,81,645,40,18,19,41,66,228,206,744,111,366,369,256,1671,159,95,1298,53,17,404,4,9,1872,220,29,35,50,63,37,217,86,164,23,105,4201,3763,27,267,32,871,28,32,20,21,3,2,66,115,361,85,15,389,625,13,9,35
2018,19,Defense,16,424,1845,591,375,3971,12,8,92,244,32,329,116,788,48,25,21,37,70,351,250,1091,96,412,389,272,2279,144,82,1153,57,21,539,2,6,1948,225,23,47,153,60,36,255,86,191,21,96,4175,3488,42,238,29,619,36,44,29,32,0,0,52,126,364,66,13,424,628,22,8,22
2018,20,Offense,16,376,1601,642,430,4419,11,17,68,208,35,326,118,811,43,26,12,26,138,647,162,690,72,270,426,310,2396,155,98,1353,59,22,670,5,12,1670,136,20,41,94,61,46,350,83,213,21,93,4293,3266,37,250,40,1027,24,28,32,35,2,0,54,124,350,68,16,376,668,28,5,31
2018,20,Defense,16,463,2112,548,350,3741,4,7,92,235,45,452,102,797,51,28,22,33,80,418,254,1144,123,560,353,255,2101,144,78,1195,50,17,445,3,7,1934,195,14,51,192,68,41,283,112,171,15,91,4064,3514,33,598,32,832,40,44,44,47,1,0,62,155,420,63,20,463,581,25,15,26
2018,21,Offense,16,389,1690,603,363,3656,6,11,69,234,29,294,89,685,43,21,18,46,81,332,208,876,96,486,388,270,2085,153,76,1014,58,17,557,7,16,1936,297,18,36,119,70,34,254,81,175,23,111,4677,4136,47,397,30,741,28,33,26,28,2,2,51,98,343,64,12,389,649,21,6,29
2018,21,Defense,16,484,1755,531,341,3880,7,9,88,237,35,316,95,691,40,22,15,44,99,454,281,1020,93,294,358,260,2355,131,68,1077,39,13,448,1,4,1992,271,20,54,163,58,37,246,97,178,21,108,4689,3993,40,361,26,572,21,29,35,35,1,1,68,138,431,82,16,484,575,25,8,26
2018,22,Offense,16,508,2074,468,323,3398,5,18,89,215,42,403,108,714,56,30,21,28,111,516,287,1141,98,431,307,229,1819,120,73,987,41,21,592,1,4,1776,168,12,58,206,71,44,282,112,170,20,78,3538,2974,39,344,37,1296,37,41,36,39,2,2,58,134,412,53,15,508,496,22,17,18
2018,22,Defense,16,397,1935,565,370,3649,12,12,60,196,30,309,89,644,42,20,15,33,85,512,212,1025,93,410,349,251,1922,167,100,1213,47,19,514,8,18,1547,219,21,46,129,67,43,268,104,185,26,81,3537,2937,41,304,52,1312,25,33,28,31,3,1,26,142,360,46,19,397,598,22,8,31
2018,23,Offense,16,367,1609,631,391,4065,8,17,79,227,36,378,101,739,44,21,20,38,69,340,189,795,107,477,407,283,2307,184,94,1426,39,14,332,9,19,1916,214,14,46,137,81,45,292,87,191,16,84,3749,3297,37,456,44,1042,36,40,36,38,1,0,70,123,344,56,18,367,669,27,7,26
2018,23,Defense,16,430,2047,553,352,3768,12,12,70,210,37,382,102,726,46,24,17,31,101,493,208,949,104,628,372,261,2340,133,78,1092,48,13,336,3,6,1732,174,22,56,128,48,30,230,102,177,26,85,3891,3075,52,312,43,1058,32,43,40,41,0,0,72,134,378,79,16,430,584,24,13,23
2018,24,Offense,16,478,1931,528,354,4157,6,14,90,218,46,435,117,841,49,35,12,19,43,182,247,1030,177,733,337,252,2306,141,80,1175,50,22,676,1,3,1760,113,14,65,192,52,38,280,113,186,28,80,3637,3045,27,242,32,715,31,36,46,48,1,1,80,133,413,67,13,478,547,27,18,23
2018,24,Defense,16,347,1629,611,372,4236,11,22,72,211,27,311,111,811,53,17,25,45,41,211,207,1023,94,402,373,254,2343,181,91,1226,55,27,667,7,17,1688,287,25,42,85,80,42,284,82,189,16,81,3705,3124,35,442,44,1064,36,41,29,29,0,0,61,103,308,39,15,347,656,18,7,30
2018,25,Offense,16,397,1662,545,336,3989,18,15,66,199,37,346,108,783,44,27,14,33,104,480,167,632,119,560,342,235,2234,141,81,1182,61,20,573,5,16,1705,178,27,50,110,55,38,272,97,173,25,86,4105,3405,30,290,37,905,23,25,37,38,2,0,57,130,364,76,18,397,578,20,17,26
2018,25,Defense,16,494,2163,578,373,4270,4,10,86,222,47,454,108,716,60,35,18,27,71,333,269,1201,148,639,389,276,2438,129,71,1101,59,26,731,3,9,1711,152,16,79,288,73,46,353,119,205,26,80,3603,2973,29,140,50,1089,31,41,49,52,0,0,79,157,456,51,8,494,605,28,16,21
2018,26,Offense,16,418,1531,574,409,4720,7,8,89,209,48,442,105,718,58,32,21,24,67,245,216,880,121,425,408,312,3080,130,83,1248,34,14,392,0,8,1722,149,15,72,154,83,54,391,83,226,18,68,3317,2916,41,400,34,832,34,42,46,49,0,0,66,120,390,57,18,418,598,37,10,12
2018,26,Defense,16,417,2048,543,342,3793,10,15,65,197,33,324,91,650,41,21,17,43,71,353,224,1201,115,504,341,243,2192,148,81,1107,51,18,494,5,14,1658,266,22,57,182,58,40,256,106,175,18,78,3708,3043,34,221,36,844,31,35,31,31,2,1,54,148,361,60,13,417,586,18,12,28
2018,27,Offense,16,425,1639,573,349,3787,3,16,76,218,35,310,86,621,41,22,13,21,78,250,220,922,120,478,353,238,1978,164,90,1166,55,21,643,3,13,1902,132,12,48,73,54,31,214,90,180,16,99,3860,3481,42,591,32,669,21,26,29,33,3,1,50,116,372,63,16,425,594,20,12,31
2018,27,Defense,16,433,1595,578,368,3855,9,14,68,220,28,306,92,659,48,23,20,34,82,361,248,880,91,373,357,252,2123,168,99,1302,50,17,430,5,16,1809,227,14,62,154,63,36,205,86,194,25,91,4089,3339,44,219,40,898,32,38,28,29,1,1,94,129,381,47,20,433,612,14,12,41
2018,28,Offense,16,478,2210,511,353,4173,4,6,89,213,51,446,108,825,55,32,19,25,104,399,243,1191,122,631,359,265,2573,112,67,1035,40,21,565,1,2,1720,148,11,76,262,65,43,298,129,183,15,88,4286,3453,38,295,33,820,27,30,51,52,0,0,61,153,414,70,13,478,536,34,14,21
2018,28,Defense,16,388,1951,592,370,4370,13,10,69,210,33,313,79,609,41,23,16,40,57,359,229,1092,101,501,390,278,2873,132,70,848,65,22,649,6,17,1573,245,22,39,88,62,39,268,107,189,14,87,3652,3118,31,133,42,897,22,27,31,31,4,3,48,138,341,48,17,388,632,26,7,24
2018,29,Offense,16,433,1918,567,400,4480,9,14,78,205,42,384,82,592,55,32,20,36,65,334,260,1122,102,470,375,279,2412,149,97,1364,42,24,704,1,7,1594,228,22,62,198,77,53,338,114,208,29,79,2930,2371,21,213,38,696,28,34,38,41,2,2,60,160,402,58,16,433,603,27,15,18
2018,29,Defense,16,419,1812,535,339,3898,7,17,81,202,44,388,99,732,45,27,14,29,71,303,251,1054,93,460,356,248,2380,133,74,971,42,17,547,4,10,1648,194,9,58,184,61,36,256,105,179,16,79,3309,2656,29,386,47,1330,23,28,39,42,4,2,53,140,386,53,11,419,564,25,15,26
2018,30,Offense,16,382,1662,571,340,3392,10,8,69,226,30,335,72,536,35,15,17,31,110,447,189,851,78,370,348,241,1910,149,75,858,71,24,624,6,9,1721,200,20,38,87,53,30,161,87,162,8,97,4297,3748,45,251,49,1274,37,45,30,31,1,1,59,122,344,52,18,382,602,19,9,34
2018,30,Defense,16,478,2285,529,353,3726,6,12,86,223,45,405,103,749,55,33,18,36,102,449,268,1259,102,583,368,256,2017,123,76,1076,38,21,633,5,12,1841,191,7,81,262,69,45,271,124,165,14,90,3947,3316,35,349,35,877,29,34,42,46,0,0,71,169,425,62,14,478,565,23,20,19
2018,31,Offense,16,429,1943,585,375,3963,12,16,69,217,32,321,122,755,41,20,17,24,83,395,232,1037,111,514,418,279,2238,115,68,1019,51,28,706,5,9,1723,158,23,39,100,57,33,210,101,187,13,90,3973,3570,32,320,40,954,30,43,29,29,4,2,40,136,371,57,14,429,609,23,6,18
2018,31,Defense,16,434,1653,529,358,3922,12,12,86,222,41,366,80,537,52,35,15,43,84,306,245,927,97,431,345,263,2283,135,78,1139,46,17,500,2,5,1752,227,24,52,133,74,47,336,85,190,19,93,4151,3561,34,203,30,596,23,29,37,42,1,1,59,118,396,69,18,434,572,27,13,23
2017,0,Offense,16,426,2026,526,307,3337,12,7,65,220,25,283,102,698,45,19,24,54,77,412,250,1222,93,399,341,219,1834,133,69,915,50,19,588,5,16,1935,345,25,55,208,57,23,143,110,150,21,92,4040,3742,34,273,34,823,31,35,22,24,3,3,71,125,355,63,9,426,580,8,17,27
2017,0,Defense,16,455,1792,571,374,4028,4,14,92,224,40,351,114,803,45,25,16,24,67,211,262,1088,116,507,383,278,2325,136,73,1037,51,23,666,0,5,1723,141,12,58,161,54,35,216,108,188,23,88,3961,3448,36,118,27,633,22,29,37,40,1,1,65,142,408,77,15,455,595,25,14,19
2017,1,Offense,16,417,1831,590,380,4267,11,10,79,213,44,399,134,937,52,30,16,12,82,387,222,1018,105,436,409,289,2684,125,72,1097,56,19,486,2,9,1757,75,14,69,141,63,41,367,99,201,26,86,3982,3275,33,266,28,594,23,29,40,43,4,4,62,130,372,72,17,417,602,28,16,28
2017,1,Defense,16,439,2094,618,404,4054,12,17,93,228,36,358,129,918,58,31,18,35,92,529,252,1190,89,381,390,287,2175,174,100,1377,53,17,502,7,16,1784,236,20,76,273,64,36,274,111,199,22,82,3582,3096,37,308,35,915,28,33,36,37,2,1,75,143,382,73,13,439,653,21,13,23
2017,2,Offense,16,408,1291,619,417,4782,13,8,94,236,37,407,118,896,47,22,22,28,108,342,173,490,123,465,403,298,2662,144,91,1331,71,28,789,3,7,1875,173,18,55,111,72,45,319,68,219,19,89,4267,3457,41,310,36,904,36,40,37,40,2,1,82,109,396,54,13,408,647,26,9,18
2017,2,Defense,16,413,1897,595,365,3929,9,13,79,223,36,339,109,787,49,28,14,39,66,275,229,1104,111,527,380,255,2136,160,88,1161,54,22,632,3,12,1806,247,18,44,120,87,51,348,97,181,28,92,4111,3481,42,314,24,544,25,31,34,35,3,1,50,134,373,69,15,413,634,26,8,36
2017,3,Offense,16,479,1718,501,334,4085,9,11,87,228,42,374,114,821,50,29,17,30,56,243,311,1134,107,348,326,237,2337,112,74,1111,62,23,637,3,5,1799,198,26,66,169,51,36,273,92,179,17,98,3949,3349,42,250,30,610,28,32,36,41,1,1,64,112,413,69,19,479,531,25,13,30
2017,3,Defense,16,401,1744,546,333,3545,14,9,66,214,29,290,99,753,40,19,16,36,84,348,220,1111,92,291,370,252,2018,130,68,1109,45,13,418,3,15,1799,227,21,49,130,49,29,175,91,152,25,99,4199,3749,54,500,41,988,24,31,26,28,3,2,40,118,355,53,15,401,582,20,9,29
2017,4,Offense,16,486,2516,574,370,3868,13,10,99,236,34,384,112,799,56,25,23,37,110,499,254,1321,114,705,371,276,2348,150,78,1073,50,16,447,4,9,1734,188,22,59,163,69,42,321,129,191,13,76,3217,2657,48,344,28,723,37,46,33,35,3,2,50,142,389,75,18,486,611,20,11,28
2017,4,Defense,16,395,1470,582,382,3914,10,15,73,214,29,302,100,673,40,22,14,44,60,170,240,935,89,372,396,275,2340,143,91,1207,43,16,367,7,12,1748,241,18,41,116,73,42,312,72,203,20,93,4026,3383,35,377,18,417,26,31,30,31,1,1,50,102,353,76,17,395,626,21,5,26
2017,5,Offense,16,451,1669,610,346,3416,12,20,76,246,26,252,117,866,38,20,11,30,52,212,310,1143,81,324,400,261,2149,154,75,975,55,10,292,9,25,1839,181,22,50,175,58,27,156,88,159,28,109,4583,3858,34,269,31,819,16,19,28,28,1,1,78,130,400,55,14,451,640,14,10,33
2017,5,Defense,16,432,1832,555,354,3658,11,11,70,221,41,391,102,790,44,27,14,29,101,481,222,909,100,453,353,238,1867,156,100,1327,46,16,464,3,12,1670,161,22,52,193,58,31,241,83,177,27,103,4562,3833,48,446,37,845,23,27,42,45,1,1,94,121,387,63,17,432,584,25,15,20
2017,6,Offense,16,398,1694,597,388,4055,9,10,91,241,36,362,106,808,48,26,15,54,101,457,212,912,80,332,381,267,2088,171,101,1414,45,20,553,2,6,2156,322,17,54,100,68,44,329,84,200,20,101,4109,3552,43,280,43,1006,26,33,38,40,0,0,62,92,343,72,13,398,651,23,12,24
2017,6,Defense,16,404,1762,601,387,3988,9,15,77,220,41,391,99,723,49,30,17,31,71,262,219,894,107,616,396,285,2420,148,82,1060,56,20,508,3,9,1671,198,16,62,172,73,43,311,101,188,19,93,4126,3526,45,377,20,475,30,31,39,41,2,1,79,131,362,58,21,404,632,24,14,23
2017,7,Offense,16,475,2602,609,404,4779,7,22,95,192,60,495,108,731,71,52,14,15,123,612,235,1375,111,626,384,282,2684,171,100,1484,52,22,611,1,4,1417,107,13,73,265,90,60,501,154,233,20,57,2365,2177,27,130,35,742,24,32,51,55,5,3,49,168,405,73,10,475,624,41,19,29
2017,7,Defense,16,411,2116,590,392,4287,4,9,85,206,50,455,103,736,50,30,18,20,82,515,230,1154,93,455,421,302,2478,123,70,1156,46,20,653,4,10,1648,110,10,49,125,75,54,352,116,203,17,74,3384,2894,20,148,20,450,27,34,46,51,3,2,63,145,362,50,22,411,610,32,16,31
2017,8,Offense,16,427,1648,545,349,3606,10,15,63,207,34,335,80,610,49,22,22,30,119,374,229,965,70,318,352,249,1950,154,87,1238,38,13,418,0,9,1596,201,19,63,161,72,49,265,83,178,18,97,4382,3767,36,356,41,940,28,31,35,35,1,0,69,126,394,67,15,427,575,26,7,17
